Date,Open,High,Low,Close,Volume
2024-06-10,2345,2345,2275,2285,11415
2024-06-11,2320,2320,2255,2270,19486
2024-06-12,2285,2285,2215,2225,21739
2024-06-13,2225,2250,2205,2225,16583
2024-06-14,2245,2245,2215,2235,13363
2024-06-17,2235,2245,2215,2245,13608
2024-06-18,2230,2240,2175,2180,32832
2024-06-19,2195,2195,2110,2155,44694
2024-06-20,2155,2170,2110,2165,19980
2024-06-21,2175,2175,2105,2120,9304
2024-06-24,2130,2130,2025,2040,60430
2024-06-25,2045,2130,2040,2125,34107
2024-06-26,2100,2155,2100,2100,7480
2024-06-27,2100,2130,2075,2095,11127
2024-06-28,2100,2105,2045,2060,32801
2024-07-01,2060,2215,2060,2200,33249
2024-07-02,2175,2190,2120,2140,39292
2024-07-03,2125,2155,2100,2135,10592
2024-07-04,2165,2170,2115,2165,11091
2024-07-05,2190,2190,2115,2140,47352
2024-07-08,2140,2145,2105,2135,18248
2024-07-09,2150,2170,1998,2085,57383
2024-07-10,2090,2100,2075,2100,19344
2024-07-11,2105,2135,2090,2125,6276
2024-07-12,2135,2140,2095,2125,17842
2024-07-15,2125,2160,2085,2140,7853
2024-07-16,2135,2150,2100,2140,11399
2024-07-17,2150,2175,2120,2125,34104
2024-07-18,2140,2140,2070,2110,7528
2024-07-19,2110,2160,2050,2145,12504
2024-07-22,2140,2165,2090,2135,17237
2024-07-23,2125,2160,2105,2125,13653
2024-07-24,2150,2290,2095,2160,106196
2024-07-25,2155,2155,2110,2120,14692
2024-07-26,2130,2160,2085,2095,20975
2024-07-29,2135,2135,2075,2090,39959
2024-07-30,2110,2110,2015,2105,33725
2024-07-31,2090,2140,2090,2115,30428
2024-08-01,2135,2145,2105,2135,14710
2024-08-02,2125,2125,2055,2065,37929
2024-08-05,2065,2065,1881,1937,95199
2024-08-06,1950,2015,1931,1990,19756
2024-08-07,1990,2040,1990,2035,16225
2024-08-08,2045,2045,1995,1998,20602
2024-08-09,2040,2040,1998,2020,17143
2024-08-12,2020,2055,2005,2015,17722
2024-08-13,2040,2040,1995,2010,16921
2024-08-14,2020,2025,1995,2025,7396
2024-08-16,1990,2050,1990,2005,19914
2024-08-19,2010,2035,1998,2000,17455
2024-08-20,2015,2040,1998,2020,23869
2024-08-21,2040,2040,1877,1980,99793
2024-08-22,1975,2000,1932,1975,60287
2024-08-23,1989,2005,1951,1960,25107
2024-08-26,1979,1997,1920,1942,42067
2024-08-27,1959,2015,1943,1980,31561
2024-08-28,1967,1988,1921,1956,47087
2024-08-29,1978,1978,1918,1961,35476
2024-08-30,1963,1972,1929,1952,21511
2024-09-02,1979,1990,1923,1937,75917
2024-09-03,1948,1978,1922,1939,28232
2024-09-04,1940,1940,1893,1898,47776
2024-09-05,1924,1924,1879,1895,23736
2024-09-06,1950,1950,1851,1853,17769
2024-09-09,1802,1885,1802,1812,137401
2024-09-10,1795,1881,1795,1813,230854
2024-09-11,1823,1877,1750,1766,361348
2024-09-12,1766,1793,1757,1791,683284
2024-09-13,1790,1799,1750,1777,79587
2024-09-19,1820,1820,1759,1764,86500
2024-09-20,1765,1795,1755,1762,75543
2024-09-23,1751,1828,1720,1761,51230
2024-09-24,1762,1798,1731,1740,118185
2024-09-25,1743,1788,1725,1736,38439
2024-09-26,1736,1736,1713,1717,48706
2024-09-27,1725,1725,1703,1714,53615
2024-09-30,1714,1718,1644,1681,140241
2024-10-02,1682,1682,1650,1656,61318
2024-10-04,1684,1684,1620,1628,39070
2024-10-07,1629,1679,1622,1658,36752
2024-10-08,1655,1672,1629,1649,110688
2024-10-10,1665,1699,1643,1660,17967
2024-10-11,1689,1689,1660,1670,67425
2024-10-14,1672,1700,1670,1670,51009
2024-10-15,1670,1742,1664,1680,65033
2024-10-16,1679,1697,1674,1683,13360
2024-10-17,1653,1693,1653,1665,29349
2024-10-18,1672,1684,1640,1642,30655
2024-10-21,1642,1660,1605,1611,57934
2024-10-22,1611,1674,1599,1611,101125
2024-10-23,1627,1648,1605,1615,53442
2024-10-24,1618,1619,1560,1565,76142
2024-10-25,1592,1592,1520,1523,110832
2024-10-28,1523,1541,1510,1532,30527
2024-10-29,1574,1574,1515,1517,63916
2024-10-30,1530,1556,1518,1519,53912
2024-10-31,1521,1542,1521,1527,11300
2024-11-01,1549,1549,1512,1529,3905
2024-11-04,1523,1536,1515,1529,13130
2024-11-05,1548,1548,1505,1523,66006
2024-11-06,1525,1544,1510,1515,16535
2024-11-07,1544,1544,1496,1498,25403
2024-11-08,1511,1511,1482,1488,15349
2024-11-11,1475,1498,1442,1446,37982
2024-11-12,1447,1447,1350,1384,90746
2024-11-13,1385,1385,1325,1326,32880
2024-11-14,1326,1326,1262,1295,81036
2024-11-15,1294,1320,1282,1300,28518
2024-11-18,1308,1342,1302,1339,41011
2024-11-19,1365,1365,1333,1349,18949
2024-11-20,1349,1384,1339,1341,53049
2024-11-21,1375,1375,1344,1346,13371
