Date,Open,High,Low,Close,Volume
2024-06-10,2045,2045,2035,2045,33526
2024-06-11,2040,2040,2030,2035,53910
2024-06-12,2035,2040,2030,2040,46850
2024-06-13,2035,2040,2035,2040,42115
2024-06-14,2035,2045,2035,2040,32619
2024-06-17,2040,2040,2035,2035,16122
2024-06-18,2035,2040,2030,2040,25527
2024-06-19,2040,2040,2030,2035,36613
2024-06-20,2035,2040,2030,2035,18568
2024-06-21,2035,2040,2030,2040,23416
2024-06-24,2040,2040,2025,2030,26527
2024-06-25,2020,2035,2020,2025,39672
2024-06-26,2025,2030,2020,2025,23296
2024-06-27,2025,2030,2020,2025,36367
2024-06-28,2025,2040,2020,2025,29664
2024-07-01,2025,2030,2020,2030,21046
2024-07-02,2025,2040,2020,2035,27891
2024-07-03,2035,2040,2025,2030,9757
2024-07-04,2030,2040,2020,2025,13289
2024-07-05,2020,2030,2000,2020,77556
2024-07-08,2020,2025,2020,2025,11603
2024-07-09,2030,2035,2025,2030,9593
2024-07-10,2030,2035,2030,2035,16611
2024-07-11,2035,2040,2030,2040,22986
2024-07-12,2035,2040,2035,2040,50236
2024-07-15,2035,2050,2035,2050,41795
2024-07-16,2040,2065,2040,2060,59604
2024-07-17,2060,2070,2060,2070,16066
2024-07-18,2070,2075,2055,2070,15172
2024-07-19,2070,2070,2060,2070,15825
2024-07-22,2060,2075,2060,2075,14490
2024-07-23,2075,2075,2055,2075,17622
2024-07-24,2075,2075,2045,2070,33831
2024-07-25,2065,2065,2055,2065,13671
2024-07-26,2065,2065,2045,2060,8768
2024-07-29,2050,2060,2045,2055,6552
2024-07-30,2055,2060,2050,2060,16904
2024-07-31,2055,2065,2050,2065,24787
2024-08-01,2065,2065,2050,2065,4735
2024-08-02,2065,2065,2040,2050,23325
2024-08-05,2050,2050,2020,2030,21477
2024-08-06,2030,2040,2020,2035,18642
2024-08-07,2035,2045,2030,2045,11622
2024-08-08,2035,2045,2030,2030,3656
2024-08-09,2035,2060,2030,2060,24588
2024-08-12,2040,2060,2035,2040,2849
2024-08-13,2040,2050,2035,2045,13200
2024-08-14,2045,2045,2035,2035,2699
2024-08-16,2035,2040,2030,2040,3514
2024-08-19,2040,2040,2020,2030,34623
2024-08-20,2035,2035,2025,2035,5371
2024-08-21,2035,2040,2025,2040,55723
2024-08-22,2040,2045,2030,2045,6627
2024-08-23,2030,2040,2025,2040,20152
2024-08-26,2040,2045,2030,2040,10638
2024-08-27,2030,2040,2010,2030,56193
2024-08-28,2025,2035,2020,2020,5175
2024-08-29,2020,2030,2020,2025,3792
2024-08-30,2030,2030,2025,2025,8195
2024-09-02,2025,2030,2020,2030,9052
2024-09-03,2025,2030,2025,2030,10646
2024-09-04,2025,2030,2025,2030,16827
2024-09-05,2030,2030,2025,2030,15104
2024-09-06,2030,2030,2025,2025,21662
2024-09-09,2020,2030,2020,2030,12030
2024-09-10,2025,2030,2015,2025,30160
2024-09-11,2025,2025,2010,2010,34192
2024-09-12,2015,2020,2010,2020,705
2024-09-13,2020,2020,2010,2015,11296
2024-09-19,2015,2020,2015,2020,12264
2024-09-20,2015,2020,2015,2020,5307
2024-09-23,2020,2030,2020,2020,5937
2024-09-24,2025,2030,2020,2025,20638
2024-09-25,2025,2025,2020,2020,2301
2024-09-26,2020,2030,2020,2025,3288
2024-09-27,2030,2030,2020,2025,4097
2024-09-30,2020,2020,2000,2010,18024
