Date,Open,High,Low,Close,Volume
2024-06-10,16590,16900,16320,16570,239221
2024-06-11,16580,19400,16580,17450,5016091
2024-06-12,17590,17730,17090,17130,453426
2024-06-13,17200,17400,17000,17160,259306
2024-06-14,17010,17050,16540,16550,267796
2024-06-17,16500,16690,16320,16530,128759
2024-06-18,16660,16900,16250,16480,186770
2024-06-19,16370,16780,16330,16680,142443
2024-06-20,16600,16740,16020,16020,168684
2024-06-21,15940,16000,15700,15780,97209
2024-06-24,15610,15770,15380,15450,100683
2024-06-25,15450,15950,15450,15550,96890
2024-06-26,15540,15800,15480,15550,67315
2024-06-27,15610,15850,15270,15490,109690
2024-06-28,15400,15800,15400,15500,77665
2024-07-01,15400,15530,15080,15530,108141
2024-07-02,15550,15640,15130,15150,87683
2024-07-03,15250,15740,15200,15240,117779
2024-07-04,15270,15420,15010,15010,97551
2024-07-05,15010,15110,14760,14900,114319
2024-07-08,14890,15270,14800,15190,66012
2024-07-09,15190,15340,14870,14880,91259
2024-07-10,14880,15220,14540,14760,108627
2024-07-11,14800,14890,14670,14710,76847
2024-07-12,15490,17000,14900,14950,1282987
2024-07-15,14950,15000,14670,14790,91994
2024-07-16,14790,14860,14300,14300,137115
2024-07-17,14300,14380,14000,14000,97585
2024-07-18,13720,13930,13550,13720,104227
2024-07-19,13560,14020,13530,14020,69559
2024-07-22,14020,14080,13400,13400,82379
2024-07-23,13400,15190,13220,13700,550032
2024-07-24,13540,14140,13540,13660,103264
2024-07-25,13500,13780,13250,13490,77856
2024-07-26,13470,13650,13330,13350,39487
2024-07-29,13350,13530,13290,13450,61356
2024-07-30,13450,14010,13250,13250,117657
2024-07-31,13230,13370,13020,13260,64116
2024-08-01,13310,13750,13310,13590,89695
2024-08-02,13410,13410,12780,12780,114916
2024-08-05,12590,12590,10350,10640,216889
2024-08-06,10380,12000,10380,11880,321517
2024-08-07,11820,12260,11730,12030,84612
2024-08-08,11800,11950,11500,11600,78200
2024-08-09,11770,12430,11770,12340,100664
2024-08-12,12600,13300,12360,12700,429452
2024-08-13,12740,16510,12350,15630,7845850
2024-08-14,15640,16770,15470,15700,4375001
2024-08-16,15620,16250,15230,15740,1948760
2024-08-19,18120,19490,17020,17330,8990998
2024-08-20,17370,21650,17210,20300,21940489
2024-08-21,19600,21500,19400,20300,6321329
2024-08-22,20750,22600,20150,20800,7702354
2024-08-23,20550,21750,19790,20250,2030995
2024-08-26,19300,19710,18930,19310,1468280
2024-08-27,18600,18940,17770,17880,1355992
2024-08-28,17700,18240,17060,17260,1615240
2024-08-29,16900,18600,16830,17920,3837613
2024-08-30,18740,20650,18730,19410,6788597
2024-09-02,19560,19960,18620,19430,2366097
2024-09-03,21300,22350,19580,19580,5362958
2024-09-04,18200,21500,18180,20500,6659131
2024-09-05,20350,21650,19370,21650,3091902
2024-09-06,21150,21450,18600,18980,2586806
2024-09-09,18430,18900,17520,17700,1316100
2024-09-10,17750,20100,17750,18860,5232455
2024-09-11,18840,19650,18330,19010,2332356
2024-09-12,19300,19420,18870,19170,900255
2024-09-13,19170,19280,18410,18940,838270
2024-09-19,18940,19420,18340,18690,661100
2024-09-20,18910,19190,17800,17800,835884
2024-09-23,18410,21850,18400,20850,10310500
2024-09-24,20700,21250,20400,20900,2398170
2024-09-25,21200,21500,20350,20800,1809432
2024-09-26,20800,22100,20450,22100,1967998
2024-09-27,21750,21800,20350,20400,1505771
2024-09-30,20100,21200,19960,19980,1363614
2024-10-02,19400,20200,19320,19670,526190
2024-10-04,19400,20200,19210,19630,495188
2024-10-07,19900,21400,19840,20700,1972000
2024-10-08,20350,21200,20050,21100,720239
2024-10-10,21800,23400,21000,21000,4041195
2024-10-11,20950,21400,20200,20250,713483
2024-10-14,19970,20900,19850,20400,647498
2024-10-15,20300,20800,19900,20250,537685
2024-10-16,20600,21350,20150,20300,1020019
2024-10-17,20550,20950,19310,19310,765459
2024-10-18,18600,19310,18570,18710,384187
2024-10-21,19010,19250,18360,19020,746037
2024-10-22,20700,20750,18640,18650,1808997
2024-10-23,18600,19400,18200,19090,618040
2024-10-24,19470,19870,18740,18790,599495
2024-10-25,19490,19800,18630,18660,665149
2024-10-28,18720,19220,18610,19040,355598
2024-10-29,18880,18890,18210,18440,397615
2024-10-30,18350,18380,17880,17880,279903
2024-10-31,17540,17840,17260,17430,252215
2024-11-01,17140,17750,17130,17360,220436
2024-11-04,17570,17880,17300,17790,272008
2024-11-05,17700,19160,17380,18180,1197494
2024-11-06,18240,18480,16540,16580,633256
2024-11-07,16790,16840,15910,16520,290129
2024-11-08,16500,17090,16500,16650,251037
2024-11-11,16480,16640,15870,15940,284776
2024-11-12,15740,17310,15320,16390,1035986
2024-11-13,15870,16790,15800,16120,293306
2024-11-14,16070,16110,15030,15040,447226
2024-11-15,14720,14870,14200,14620,336532
2024-11-18,14490,15180,14490,14980,223899
2024-11-19,14810,14960,14660,14700,118949
2024-11-20,14650,14910,14400,14620,115247
2024-11-21,14620,14780,14410,14510,121817
2024-11-22,14550,15180,14410,14900,163950
2024-11-25,15000,15490,15000,15380,151505
2024-11-26,15380,15600,15200,15210,148582
2024-11-27,15380,15440,14710,14750,139275
2024-11-28,14750,15230,14700,15060,108169
2024-11-29,14990,15490,14080,14080,244111
2024-12-02,14140,14580,14030,14190,120404
2024-12-03,14170,14560,14170,14410,105078
2024-12-04,13750,14410,13710,13850,166763
2024-12-05,13930,14100,13690,13700,126060
2024-12-06,13510,13790,12870,13400,184980
2024-12-09,13100,13340,12260,12260,239258
2024-12-10,12240,13350,12240,13350,174940
2024-12-11,13450,14150,13410,14080,176513
2024-12-12,14150,14330,13750,14080,140735
2024-12-13,14080,14170,13830,14040,76380
2024-12-16,14210,14530,14180,14440,136137
2024-12-17,14480,14480,13850,13930,121189
2024-12-18,13870,14260,13850,14220,88337
2024-12-19,14010,14010,13690,13790,95151
2024-12-20,13690,13780,13280,13320,85103
2024-12-23,13330,13840,13110,13800,71872
2024-12-24,13800,14350,13700,13720,108119
2024-12-26,13800,13920,13300,13310,79012
2024-12-27,13220,13480,13020,13080,71521
2024-12-30,12950,13480,12910,13380,47412
2025-01-02,13300,13370,13070,13130,69217
2025-01-03,13170,14150,13170,13900,172164
2025-01-06,14450,14460,14130,14310,173935
2025-01-07,14310,14880,14300,14510,218991
2025-01-08,14450,15100,14290,14870,194467
2025-01-09,14730,15400,14310,14850,412451
2025-01-10,14730,15000,14410,14650,208521
2025-01-13,14520,14580,14250,14280,82843
2025-01-14,14330,14850,14250,14700,148343
2025-01-15,14700,14800,14200,14310,101610
2025-01-16,14610,15800,14610,15030,622780
2025-01-17,14900,15080,14800,14950,143221
2025-01-20,15100,15460,14880,15110,263130
2025-01-21,15110,15120,13770,14120,313072
2025-01-22,14120,14410,13800,14170,147698
2025-01-23,14170,14170,13720,13720,98181
2025-01-24,13740,14250,13740,13980,91108
2025-01-31,13950,13960,13500,13690,79475
2025-02-03,13450,13630,12920,13020,128744
2025-02-04,13050,13590,13050,13430,90775
2025-02-05,13440,13930,13440,13850,67924
2025-02-06,13770,13960,13650,13870,61152
2025-02-07,13800,14080,13600,13890,77900
2025-02-10,14070,16170,13850,15240,2569993
2025-02-11,15140,15640,15090,15320,652305
2025-02-12,15780,15790,15030,15100,426228
2025-02-13,15660,15770,15100,15300,350426
2025-02-14,15370,16090,15090,15320,572825
2025-02-17,15380,16160,15320,16010,790033
2025-02-18,15920,16020,15630,15690,313383
2025-02-19,15970,16470,15800,16000,623408
2025-02-20,16240,17300,15820,15820,1196243
2025-02-21,15900,19220,15900,18600,7045720
2025-02-24,18250,19980,18140,18940,5435580
2025-02-25,18970,19090,18290,19080,1168806
2025-02-26,18660,20500,18650,19230,4112498
2025-02-27,19470,20500,19020,20400,2579941
2025-02-28,19700,20200,19170,19470,1431852
2025-03-04,19450,19450,16770,17000,1201011
2025-03-05,17800,19730,17550,17920,2940073
2025-03-06,17930,18200,17040,17320,786205
2025-03-07,18810,19680,17610,17610,3461479
2025-03-10,17990,18250,17760,17850,575687
2025-03-11,17000,17750,16950,17600,398026
2025-03-12,17520,17950,17220,17650,388227
2025-03-13,17700,17960,17470,17530,404529
2025-03-14,17700,18790,17690,17810,1340295
2025-03-17,17940,18260,17750,17770,328900
2025-03-18,17900,18300,17790,17960,346183
2025-03-19,18030,18200,17810,17920,266513
2025-03-20,18110,18370,17380,17390,361641
2025-03-21,17300,17300,16250,16580,397556
2025-03-24,16610,16820,16440,16580,143025
2025-03-25,16650,16970,16010,16160,233455
2025-03-26,16160,16710,16010,16460,178636
2025-03-27,16280,16340,15850,15890,135068
2025-03-28,15900,15920,15190,15200,147131
2025-03-31,14900,15050,14460,14520,123526
2025-04-01,14660,15120,14580,15040,98436
2025-04-02,15270,15340,14570,14650,83923
2025-04-03,14310,14800,14150,14510,65051
2025-04-04,14190,15100,14170,14930,132812
2025-04-07,14280,14500,13830,13850,113805
2025-04-08,14270,14350,13900,13910,86680
2025-04-09,13620,13980,13200,13360,92379
2025-04-10,14120,14640,14070,14560,101281
2025-04-11,14280,14980,14200,14890,94093
2025-04-14,15120,15310,15020,15090,75386
2025-04-15,15410,15410,15030,15240,72092
2025-04-16,15290,15360,14560,14630,85747
2025-04-17,14420,15010,14420,15000,57572
2025-04-18,15140,15210,14700,15090,48580
2025-04-21,15090,15440,14980,15210,72506
2025-04-22,15010,15500,15010,15230,57117
2025-04-23,15510,15630,15310,15610,101063
2025-04-24,15850,15850,15270,15270,60522
2025-04-25,15390,16050,15310,15650,142985
2025-04-28,15660,15830,15160,15190,66190
2025-04-29,15200,15410,14400,15240,76589
2025-04-30,15180,15250,14780,14860,53500
2025-05-02,14860,14950,14650,14760,26996
2025-05-07,14940,14940,14690,14810,37384
2025-05-08,15010,15320,15000,15200,65815
2025-05-09,15290,15290,14550,14550,78310
2025-05-12,14600,14810,14530,14800,102600
2025-05-13,14950,14950,14640,14640,45316
2025-05-14,14640,14760,14430,14700,64623
2025-05-15,14690,14780,14420,14490,57564
2025-05-16,14580,14610,14070,14130,74756
2025-05-19,14070,14480,14000,14130,72259
2025-05-20,14190,14270,13920,14000,51834
2025-05-21,13910,14380,13910,14170,41923
2025-05-22,14100,14290,13920,14160,54429
2025-05-23,14190,14230,13750,13860,49038
2025-05-26,13710,14350,13710,14000,53021
2025-05-27,14030,14140,13870,13950,40668
2025-05-28,14110,15080,14010,14690,204852
2025-05-29,14660,14710,14330,14550,80478
2025-05-30,14490,14590,14230,14410,48671
2025-06-02,16370,16390,14740,14820,735959
2025-06-04,15010,15260,14940,14990,199362
2025-06-05,15000,15270,14870,15000,152099
2025-06-09,14950,15370,14710,15020,143261
