Date,Open,High,Low,Close,Volume
2024-06-10,34200,36400,33950,36050,152766
2024-06-11,35900,36200,34750,35000,69123
2024-06-12,35000,36250,35000,35850,82465
2024-06-13,36100,36300,34500,34500,323914
2024-06-14,34500,34500,29900,30600,503085
2024-06-17,31100,32000,30600,31950,87267
2024-06-18,32300,32300,30100,31400,112683
2024-06-19,31700,31700,30600,30900,62601
2024-06-20,30700,31250,29950,30150,89369
2024-06-21,30000,30450,29450,30000,85278
2024-06-24,29900,30250,28350,30200,75693
2024-06-25,29600,30150,28650,29100,104507
2024-06-26,29500,31000,28500,29050,144773
2024-06-27,30000,30350,29100,30050,69269
2024-06-28,30050,31000,29450,30400,57161
2024-07-01,30450,31000,29800,30600,52649
2024-07-02,30100,30450,29650,30100,55252
2024-07-03,29850,30100,28850,29700,74719
2024-07-04,29500,29650,28350,28550,65996
2024-07-05,28550,29200,28300,29000,46239
2024-07-08,28750,28750,27800,28500,61567
2024-07-09,28200,29450,28150,28550,57619
2024-07-10,28300,28750,28000,28400,47917
2024-07-11,28700,30500,28450,29350,84910
2024-07-12,29350,31850,29350,31200,172407
2024-07-15,30700,32550,30300,32500,88191
2024-07-16,32800,33000,31800,32900,72536
2024-07-17,33300,33300,31150,31800,77710
2024-07-18,32300,32300,30250,31300,69846
2024-07-19,30600,31750,30600,31600,23479
2024-07-22,31050,31300,29050,29600,60027
2024-07-23,29600,29900,28750,29850,42419
2024-07-24,29150,29750,29000,29550,25379
2024-07-25,29300,30250,28900,29950,45081
2024-07-26,30000,30450,29300,29700,57466
2024-07-29,30050,30600,29300,30200,28308
2024-07-30,29550,30350,29450,30050,31672
2024-07-31,30050,30700,29400,30700,24444
2024-08-01,31050,31050,29900,30500,23522
2024-08-02,30400,30400,29400,29700,73283
2024-08-05,29000,29100,25000,26350,145076
2024-08-06,27250,28450,27200,28150,54899
2024-08-07,27450,28500,27350,28350,26383
2024-08-08,27800,27900,27050,27850,53124
2024-08-09,28100,28150,27150,27800,30254
2024-08-12,27500,28100,27350,27950,16494
2024-08-13,27550,27900,26700,27150,40130
2024-08-14,27800,27800,26700,27150,41044
2024-08-16,27650,27650,26300,26700,52707
2024-08-19,26800,26800,25400,26100,53396
2024-08-20,25700,26350,25500,26250,33218
2024-08-21,25750,26500,25700,26300,26672
2024-08-22,26200,26300,24350,25300,87186
2024-08-23,24800,25000,24300,24700,57174
2024-08-26,24450,25000,23300,24950,107103
2024-08-27,24950,24950,23200,23900,62585
2024-08-28,23500,23650,22500,23300,52837
2024-08-29,22300,23450,22300,23150,39752
2024-08-30,22900,23500,22700,23450,36369
2024-09-02,23300,23500,22250,22300,40775
2024-09-03,22300,23700,22300,22850,35839
2024-09-04,22650,22750,21450,21750,47675
2024-09-05,21900,22450,21500,22450,23071
2024-09-06,22650,22650,20950,21100,42240
2024-09-09,20000,21700,20000,21650,46415
2024-09-10,21450,21500,19990,20250,43621
2024-09-11,20500,21200,20450,20850,25383
2024-09-12,20500,21700,20400,20650,65912
2024-09-13,20400,20900,19950,20750,24371
2024-09-19,21150,21150,20100,20400,21798
2024-09-20,20450,20750,20000,20550,30447
2024-09-23,20350,20350,19250,19280,70291
2024-09-24,19740,20200,19300,20200,58854
2024-09-25,20550,23650,20000,22700,115855
2024-09-26,22800,23500,21800,22800,47767
2024-09-27,22600,23650,21800,23050,53377
2024-09-30,23450,23500,22400,22850,32768
2024-10-02,22200,24550,22150,23750,63595
2024-10-04,23950,25000,23000,24150,53132
2024-10-07,23800,23800,22800,23450,39419
2024-10-08,23350,23700,22550,23400,20196
2024-10-10,23050,23350,22600,22850,25131
2024-10-11,23500,24100,23150,23300,26870
2024-10-14,23400,24600,23200,24600,31634
2024-10-15,25100,26200,23250,23300,89715
2024-10-16,23100,23900,23100,23700,51701
2024-10-17,23800,23800,22950,23400,23989
2024-10-18,23800,23800,22250,22300,42724
2024-10-21,22900,22900,22000,22300,19613
2024-10-22,22150,22350,21500,21750,55538
2024-10-23,21950,21950,21100,21900,34668
2024-10-24,22000,22000,20950,21800,25919
2024-10-25,22050,24250,21850,23750,57896
2024-10-28,23750,23850,22550,23550,34928
2024-10-29,23100,24200,22900,23950,24092
2024-10-30,23750,24150,23050,23050,16062
2024-10-31,23050,23350,22450,23000,22136
2024-11-01,23200,23200,21900,22450,39023
2024-11-04,22450,23350,22250,23350,27388
2024-11-05,22750,23300,22050,22800,30606
2024-11-06,22600,23300,22450,23300,21943
2024-11-07,22800,22900,21900,22450,44787
2024-11-08,22550,22650,21300,21400,48655
2024-11-11,21200,21750,20700,21250,34367
2024-11-12,21450,21450,19950,20750,105168
2024-11-13,20900,20900,20000,20550,49975
2024-11-14,20550,21950,20550,21650,53989
2024-11-15,21300,22300,20750,22250,50569
2024-11-18,22250,22700,21750,22250,37392
2024-11-19,22200,22500,21400,22300,18279
2024-11-20,22450,24600,21750,24500,66872
2024-11-21,24550,24550,23600,24350,52697
2024-11-22,24500,24500,22600,23800,64065
2024-11-25,23600,24150,23100,23800,28553
2024-11-26,23400,24100,23350,24000,19745
2024-11-27,24050,25100,23850,24500,50687
2024-11-28,24650,24650,23500,23950,25464
2024-11-29,23800,23800,22600,23100,36211
2024-12-02,23700,23750,22550,23300,27681
2024-12-03,23300,23750,22050,23500,56198
2024-12-04,22550,23300,21850,22350,88413
2024-12-05,22050,23000,21600,22700,58722
2024-12-06,23000,23800,22200,23700,73243
2024-12-09,23600,23650,21500,22450,78219
2024-12-10,22800,23400,22050,23000,54616
2024-12-11,22550,22800,21550,21550,91301
2024-12-12,21700,21900,20900,21400,82679
2024-12-13,21650,21700,21100,21600,38804
2024-12-16,21400,21700,20800,21300,94228
2024-12-17,21000,22050,21000,21400,70179
2024-12-18,21750,24100,21300,23900,212164
2024-12-19,23500,23900,22650,23000,189513
2024-12-20,22850,24250,22300,23000,244231
2024-12-23,23000,24600,22000,24000,165056
2024-12-24,24500,28150,24050,27000,649833
2024-12-26,26900,27150,26000,26000,192254
2024-12-27,25750,27150,25500,26750,298510
2024-12-30,26500,27250,25650,26100,106478
2025-01-02,26100,28400,25550,28000,175385
2025-01-03,28000,28350,27100,28100,107583
