Date,Open,High,Low,Close,Volume
2024-06-10,14330,14800,14160,14680,30234
2024-06-11,17800,18950,16670,17730,4499367
2024-06-12,18480,19670,17150,19400,3113325
2024-06-13,19870,20950,18610,19100,2289127
2024-06-14,19410,19490,17940,18150,894070
2024-06-17,17820,17850,16730,16930,804913
2024-06-18,16800,18260,16100,17850,1025410
2024-06-19,17860,18470,17050,18270,781239
2024-06-20,18240,18440,17180,17200,329731
2024-06-21,16980,17260,16500,16560,228730
2024-06-24,16550,16690,16340,16410,150625
2024-06-25,16120,16250,15550,15950,302172
2024-06-26,15960,17000,15960,16690,253713
2024-06-27,16690,17080,16300,16600,131552
2024-06-28,16620,17290,16080,16330,398175
2024-07-01,16170,17690,16080,16510,233115
2024-07-02,16560,16980,16150,16700,222688
2024-07-03,17090,17530,16330,16500,347424
2024-07-04,16570,16870,15780,15880,274838
2024-07-05,15990,16000,15130,15140,840649
2024-07-08,15000,15690,14800,15210,379485
2024-07-09,15230,15340,14590,14610,286935
2024-07-10,14620,14750,14300,14650,125173
2024-07-11,14800,14870,14260,14300,166459
2024-07-12,14250,14350,13650,13710,195339
2024-07-15,13810,14060,13210,13980,172768
2024-07-16,13860,14920,13770,14500,218887
2024-07-17,14510,14850,13760,13760,138899
2024-07-18,13260,13690,13090,13200,128691
2024-07-19,13060,13730,13060,13100,118902
2024-07-22,13010,13090,12250,12300,207863
2024-07-23,12460,12630,11370,11800,412907
2024-07-24,11680,12330,11350,11610,156117
2024-07-25,11260,11380,11050,11200,151531
2024-07-26,11100,11400,11060,11270,110103
2024-07-29,11270,11520,11110,11460,52598
2024-07-30,11300,11580,10790,11250,102012
2024-07-31,11200,11880,10930,11840,118554
2024-08-01,11940,12100,11490,11600,67048
2024-08-02,11060,11230,10640,10830,151489
2024-08-05,10410,10580,8300,9890,267059
2024-08-06,9910,10350,9860,9960,131176
2024-08-07,9960,10950,9760,10000,301934
2024-08-08,9900,10250,9800,10080,58205
2024-08-09,10390,10550,10280,10510,53499
2024-08-12,10510,11000,10400,10850,46354
2024-08-13,10870,10950,10580,10850,56653
2024-08-14,11000,11070,10780,10780,51319
2024-08-16,10940,10980,10600,10770,45180
2024-08-19,10670,10890,10570,10770,43897
2024-08-20,10780,11050,10780,10970,53106
2024-08-21,11000,11000,10710,10850,28108
2024-08-22,10950,11030,10650,10660,35763
2024-08-23,10560,10650,10370,10600,22515
2024-08-26,10600,10870,10390,10440,36033
2024-08-27,10440,10480,10180,10310,30422
2024-08-28,10110,10370,10090,10300,30407
2024-08-29,10190,10250,9970,10050,50464
2024-08-30,11060,11060,10000,10000,85631
2024-09-02,10130,10210,9750,10210,27149
2024-09-03,10100,10590,10020,10370,44472
2024-09-04,9850,10300,9800,10000,45991
2024-09-05,10000,10190,9660,9800,39403
2024-09-06,9710,9810,9250,9350,55412
2024-09-09,9070,9660,8930,9590,37017
2024-09-10,9590,9740,9310,9490,9028
2024-09-11,9490,9650,9310,9390,10920
2024-09-12,9500,11600,9330,9350,902389
2024-09-13,9430,9800,9360,9710,100402
2024-09-19,9750,9830,9020,9020,92309
2024-09-20,9070,9300,8920,9080,37422
2024-09-23,9080,9280,8970,9010,29894
2024-09-24,9030,9250,8980,9250,18987
2024-09-25,9500,9500,9120,9140,18768
2024-09-26,9330,9870,9330,9780,89030
2024-09-27,9800,9880,9530,9560,41459
2024-09-30,9380,9540,9170,9200,32204
2024-10-02,9020,9150,8850,8970,41355
2024-10-04,8850,9390,8850,9190,47616
2024-10-07,9220,9490,9020,9400,30540
2024-10-08,9300,9370,9050,9120,21061
2024-10-10,9050,9270,8950,8950,27105
2024-10-11,8990,9150,8670,8790,41862
2024-10-14,8690,9130,8690,9020,34671
2024-10-15,9040,9240,8950,9040,20804
2024-10-16,8810,8890,8730,8760,59230
2024-10-17,8600,10520,8600,8820,1092984
2024-10-18,8780,8910,8440,8460,135308
2024-10-21,8460,9070,8420,8640,72116
2024-10-22,8590,8990,8450,8450,53129
2024-10-23,8450,8620,8400,8510,31194
2024-10-24,8540,8650,8220,8280,34437
2024-10-25,8290,8530,8030,8150,37030
2024-10-28,7960,8310,7960,8310,34081
2024-10-29,8230,8420,8040,8250,25059
2024-10-30,8300,8360,8100,8200,26998
2024-10-31,8110,8480,8000,8460,53502
2024-11-01,8430,8530,8240,8410,28771
2024-11-04,8330,8600,8330,8570,14867
2024-11-05,8700,9420,8500,9170,132145
2024-11-06,9380,9380,8870,8880,55022
2024-11-07,8880,9140,8800,8800,31092
2024-11-08,8800,9110,8800,8940,24498
2024-11-11,8940,8980,8300,8450,32754
2024-11-12,8290,8450,7830,8000,126222
2024-11-13,7670,7920,7400,7420,115127
2024-11-14,7390,7440,7170,7310,40729
2024-11-15,6980,7310,6880,7020,102208
2024-11-18,6950,7060,6680,6720,65382
2024-11-19,6720,6850,6510,6620,54151
2024-11-20,6600,6850,6550,6770,41951
2024-11-21,6770,6770,6440,6540,107944
2024-11-22,6540,6790,6530,6590,57088
2024-11-25,6600,6940,6600,6940,47828
2024-11-26,7150,7150,6660,6770,49339
2024-11-27,6700,6770,6480,6540,66785
2024-11-28,6540,6690,6480,6590,46581
2024-11-29,6580,6770,6280,6380,87629
2024-12-02,6310,6500,6020,6130,91203
2024-12-03,6010,7240,6010,6120,337359
2024-12-04,6010,6110,5830,5870,83899
2024-12-05,5870,6250,5780,6150,87712
2024-12-06,5980,6140,5830,5880,55829
2024-12-09,5600,5850,5500,5550,65431
2024-12-10,5510,6320,5510,6220,83528
2024-12-11,6290,6730,6160,6720,62306
2024-12-12,6660,6980,6500,6680,40228
2024-12-13,6710,6850,6470,6830,74268
2024-12-16,6870,7150,6770,6950,84016
2024-12-17,6950,7180,6830,7160,40953
2024-12-18,7180,7460,7080,7430,79052
2024-12-19,7320,7400,7010,7040,68174
2024-12-20,7040,7130,6800,6810,47337
2024-12-23,6970,7200,6860,7110,36273
2024-12-24,7200,7200,6770,6770,39316
2024-12-26,6770,6970,6770,6840,7649
2024-12-27,6840,7040,6790,6840,20058
2024-12-30,6840,6950,6590,6870,30449
2025-01-02,6820,7000,6640,7000,26422
2025-01-03,6930,7260,6900,7180,50294
2025-01-06,7160,7450,7160,7430,41325
2025-01-07,7400,7470,7230,7300,61155
2025-01-08,7240,7430,7160,7420,66698
2025-01-09,7420,7420,7170,7300,53483
2025-01-10,7300,7400,7130,7160,40347
2025-01-13,7200,7200,6870,6930,37562
2025-01-14,6900,7080,6750,7000,38635
2025-01-15,7000,7090,6850,6850,49618
2025-01-16,6990,7130,6910,7070,55660
2025-01-17,7100,7210,6890,7150,41447
2025-01-20,7210,7920,7160,7600,202480
2025-01-21,7580,8540,7570,7970,299406
2025-01-22,8140,8490,7920,8200,131135
2025-01-23,8220,8310,7650,7810,117932
2025-01-24,7810,7980,7600,7840,86571
2025-01-31,7770,7770,7200,7400,61894
2025-02-03,7260,7260,6760,6920,95240
2025-02-04,6940,7300,6940,7140,31305
2025-02-05,7140,7320,7050,7310,35315
2025-02-06,7310,7400,7140,7400,53360
2025-02-07,7370,7750,7310,7630,70178
2025-02-10,7520,7730,7260,7730,72216
2025-02-11,7670,7840,7540,7800,59855
2025-02-12,7800,7800,7500,7740,40664
2025-02-13,7730,8110,7730,8090,66902
2025-02-14,8090,8650,8090,8560,109070
2025-02-17,8640,8790,8500,8700,114757
2025-02-18,8600,10220,8600,9730,947712
