Date,Open,High,Low,Close,Volume
2024-06-10,92200,115500,91800,112100,1818548
2024-06-11,115000,118400,107400,109000,745609
2024-06-12,109000,110400,106800,108600,284043
2024-06-13,107100,109300,104300,108500,236745
2024-06-14,111600,112700,107500,108400,504132
2024-06-17,108800,112500,107200,110900,359403
2024-06-18,111200,112300,104900,107200,269390
2024-06-19,107200,107200,98400,100400,351425
2024-06-20,100700,102100,98600,99900,155858
2024-06-21,99500,107500,97600,107100,395894
2024-06-24,107000,107000,98900,100100,200465
2024-06-25,100400,103600,99700,99900,130787
2024-06-26,99900,101400,98200,99800,87436
2024-06-27,100500,101000,95700,96300,147654
2024-06-28,97000,98400,96000,97500,140297
2024-07-01,97100,97400,90800,91600,201147
2024-07-02,91600,91900,89100,90700,131136
2024-07-03,90900,92100,88600,91900,137907
2024-07-04,92000,92400,89100,89100,75480
2024-07-05,88800,89100,86600,88000,87626
2024-07-08,88000,90400,87100,89600,94097
2024-07-09,90300,90700,89300,90100,60578
2024-07-10,90000,92100,87800,92000,112655
2024-07-11,92200,92500,87800,89000,128742
2024-07-12,88600,88600,86000,86200,115786
2024-07-15,86100,87800,85400,86900,61382
2024-07-16,86900,86900,84000,85400,85333
2024-07-17,86200,86200,82800,84000,80763
2024-07-18,82800,85200,81200,84600,89958
2024-07-19,84500,86500,83400,84000,58173
2024-07-22,83700,85200,82900,84500,47124
2024-07-23,85200,87400,85000,87100,108068
2024-07-24,87500,87600,85700,86500,65828
2024-07-25,85400,89200,84900,84900,99226
2024-07-26,84800,87300,84000,85700,57598
2024-07-29,86500,87400,83300,86300,76944
2024-07-30,85000,88100,85000,85300,50551
2024-07-31,85700,89900,85600,89800,141192
2024-08-01,89800,91700,87100,87900,94651
2024-08-02,87000,87000,81300,83000,111816
2024-08-05,79900,82000,73600,77100,125176
2024-08-06,77300,80000,76100,76900,111648
2024-08-07,77000,82800,76800,81800,100390
2024-08-08,81100,82200,79400,80300,36872
2024-08-09,81000,81200,78400,79000,53854
2024-08-12,78600,79600,77400,79300,39423
2024-08-13,80000,80600,78100,79300,48251
2024-08-14,79400,80500,77900,78500,59394
2024-08-16,72400,73300,68100,69400,436376
2024-08-19,69800,70200,68000,68300,116733
2024-08-20,68400,68700,67400,68000,79566
2024-08-21,67400,67900,66000,66800,134232
2024-08-22,66700,67600,65800,66700,80168
2024-08-23,66500,66600,65300,66400,61102
2024-08-26,67000,67500,66100,67000,65914
2024-08-27,67000,67400,65800,66900,47650
2024-08-28,66400,67000,64900,65100,91579
