날짜,Open,High,Low,Close,Volume
2024-06-10,13916,13956,13817,13852,7167540
2024-06-11,13902,14141,13892,14037,5885790
2024-06-12,14105,14160,13946,14051,9560491
2024-06-13,14196,14241,14017,14017,5486959
2024-06-14,14016,14065,13772,13772,8761875
2024-06-17,13702,13891,13637,13757,5754275
2024-06-18,13861,13931,13672,13767,6148941
2024-06-19,13767,13896,13687,13787,7598627
2024-06-20,13802,13892,13643,13718,8007217
2024-06-21,13613,13742,13523,13693,5137062
2024-06-24,13682,13682,13498,13503,5919836
2024-06-25,13488,13627,13468,13568,6782768
2024-06-26,13607,13627,13433,13508,6797686
2024-06-27,13418,13577,13403,13513,5957935
2024-06-28,13523,13582,13458,13543,4524169
2024-07-01,13502,13766,13472,13757,5515169
2024-07-02,13707,13732,13399,13414,8110710
2024-07-03,13562,13756,13522,13747,8415475
2024-07-04,13807,13931,13802,13867,8581581
2024-07-05,13871,14160,13861,14126,7906067
2024-07-08,14101,14316,14096,14316,8767285
2024-07-09,14310,14395,14216,14311,7988710
2024-07-10,14245,14340,14166,14241,7118321
2024-07-11,14335,14375,14106,14121,6485761
2024-07-12,14031,14200,13921,14091,8411671
2024-07-15,14150,14150,14016,14116,4866971
2024-07-16,14116,14116,13847,13867,8129009
2024-07-17,13902,13927,13628,13643,12126963
2024-07-18,13503,13627,13393,13578,14607960
2024-07-19,13483,13717,13463,13683,10595340
2024-07-22,13652,13657,13269,13344,9480161
2024-07-23,13394,13543,13324,13394,12760240
2024-07-24,13249,13543,13234,13439,7950155
2024-07-25,13219,13304,13110,13155,12214665
2024-07-26,13204,13269,13110,13130,13269346
2024-07-29,13204,13358,13149,13334,7121507
2024-07-30,13199,13354,13199,13354,6354091
2024-07-31,13314,13363,13159,13329,7506834
2024-08-01,13403,13527,13363,13513,5381058
2024-08-02,13273,13283,12895,12895,12156009
2024-08-05,12850,12850,11171,11535,30250988
2024-08-06,11974,12447,11884,12268,27486901
2024-08-07,12198,12661,12183,12557,7879576
2024-08-08,12297,12571,12207,12432,7143147
2024-08-09,12716,12885,12646,12761,7600337
2024-08-12,12776,12940,12776,12836,8251274
2024-08-13,12815,12870,12581,12771,6612864
2024-08-14,12984,12984,12900,12925,5443521
2024-08-16,13149,13208,13094,13204,7109553
2024-08-19,13189,13204,12960,12970,6664254
2024-08-20,13095,13149,13025,13110,7339190
2024-08-21,12999,13099,12880,12920,7303404
2024-08-22,12970,13010,12736,12851,7565765
2024-08-23,12720,12969,12705,12930,5619233
2024-08-26,13010,13045,12736,12806,7507015
2024-08-27,12765,12790,12596,12716,6465289
2024-08-28,12735,12750,12606,12721,4976711
2024-08-29,12596,12670,12571,12631,5243452
2024-08-30,12666,12880,12616,12861,4892541
2024-09-02,12855,12930,12785,12930,6918795
2024-09-03,12905,12985,12701,12701,5826385
2024-09-04,12337,12397,12118,12178,8374050
2024-09-05,12267,12307,11943,12113,11617652
2024-09-06,12092,12102,11729,11729,11304037
2024-09-09,11550,11933,11520,11894,16612101
2024-09-10,11859,11944,11680,11685,7124058
2024-09-11,11724,11953,11689,11754,5620589
2024-09-12,11958,12267,11958,12143,6080753
2024-09-13,12143,12217,12018,12218,8446620
2024-09-19,12327,12421,12157,12357,11165380
2024-09-20,12502,12606,12477,12557,8212200
2024-09-23,12581,12800,12526,12746,6602110
2024-09-24,12775,13014,12765,12990,8220918
2024-09-25,13064,13069,12721,12756,8432768
2024-09-26,12875,13130,12826,13130,6463738
2024-09-27,13064,13124,12955,12990,8491768
2024-09-30,13055,13090,12791,12821,6108456
2024-10-02,12715,13019,12665,12885,8704014
2024-10-04,12915,13209,12870,13065,10047153
2024-10-07,13154,13293,13079,13239,9347176
2024-10-08,13164,13313,13144,13219,7244192
2024-10-10,13273,13368,13044,13169,4647779
2024-10-11,13144,13244,13000,13015,7470528
2024-10-14,13014,13039,12835,12955,4391426
2024-10-15,13045,13139,12890,13070,4879197
2024-10-16,12960,12960,12841,12866,6280551
2024-10-17,12900,12965,12776,12856,3757966
2024-10-18,12845,12865,12526,12616,8599028
2024-10-21,12641,12850,12527,12826,8368326
2024-10-22,12800,12805,12382,12392,9739901
2024-10-23,12456,12680,12202,12581,13647783
2024-10-24,12556,12566,12362,12402,6555391
2024-10-25,12462,12502,12218,12278,8004898
2024-10-28,12326,12606,12321,12606,7191583
2024-10-29,12546,12706,12377,12706,9023696
2024-10-30,12646,12706,12512,12527,6121590
2024-10-31,12436,12666,12277,12666,6477392
2024-11-01,12506,12541,12347,12347,7921917
2024-11-04,12377,13019,12292,12995,16441504
2024-11-05,12915,13025,12836,12866,8319612
2024-11-06,12974,13094,12556,12676,10937788
2024-11-07,12641,12656,12277,12437,10731037
2024-11-08,12616,12720,12501,12661,11717550
2024-11-11,12711,12731,12402,12462,8270799
2024-11-12,12462,12507,12163,12268,10079182
2024-11-13,12262,12362,11859,11859,15024798
2024-11-14,11978,12172,11709,11709,21691974
2024-11-15,11604,11928,11540,11859,18169722
2024-11-18,11774,12143,11689,11939,14776328
2024-11-19,11889,11919,11630,11700,10492339
2024-11-20,11774,11829,11595,11605,12862652
2024-11-21,11600,11724,11286,11625,12935605
2024-11-22,11585,11754,11356,11361,14751038
2024-11-25,11510,11918,11510,11864,14875262
2024-11-26,11859,11879,11580,11630,7972674
2024-11-27,11654,11709,11470,11590,11273070
2024-11-28,11669,11739,11565,11625,7934788
2024-11-29,11629,11634,11261,11306,7589100
2024-12-02,11400,11500,11281,11341,11191023
2024-12-03,11375,11709,11375,11605,9342522
2024-12-04,11434,11614,11330,11415,13628100
2024-12-05,11465,11500,11301,11346,10945063
2024-12-06,11360,11375,10942,11296,19540798
2024-12-09,11091,11091,10718,10733,26811326
2024-12-10,10912,11285,10912,11236,31136866
2024-12-11,11236,11430,11176,11306,16428345
2024-12-12,11440,11549,11255,11540,11749119
2024-12-13,11500,11659,11420,11560,8138799
2024-12-16,11689,11714,11515,11575,11907315
2024-12-17,11619,11624,11395,11450,6785291
2024-12-18,11470,11559,11350,11510,6423422
2024-12-19,11201,11320,11141,11206,10414377
2024-12-20,11196,11216,10887,10937,9719983
2024-12-23,11071,11245,10961,11116,14577502
2024-12-24,11166,11230,11096,11186,6223625
2024-12-26,11260,11260,11096,11141,8401120
2024-12-27,11126,11221,10932,11017,7943552
2024-12-30,10971,11295,10937,11236,8533837
2025-01-02,11246,11380,11161,11281,6640082
2025-01-03,11260,11738,11255,11714,10494605
2025-01-06,11694,11943,11684,11894,10217270
2025-01-07,11909,12013,11884,11924,13256315
2025-01-08,11889,11978,11789,11959,6965826
2025-01-09,11939,12028,11839,11984,6490062
2025-01-10,11973,12003,11829,11894,6308438
2025-01-13,11789,11889,11610,11675,6827954
2025-01-14,11739,11923,11689,11889,7097776
2025-01-15,11993,12013,11719,11764,8771733
2025-01-16,11938,12087,11923,12008,8112245
2025-01-17,11978,12037,11948,12023,7092519
2025-01-20,12063,12147,11983,12113,7036605
2025-01-21,12142,12277,11968,12103,7352199
2025-01-22,12163,12277,12138,12223,5851924
2025-01-23,12202,12207,12108,12153,6952973
2025-01-24,12158,12302,12093,12268,5144397
2025-01-31,12188,12273,12023,12273,5599550
2025-02-03,12038,12038,11699,11769,11946125
2025-02-04,11943,12272,11943,12083,9358999
2025-02-05,12182,12326,12182,12297,8268369
2025-02-06,12392,12471,12362,12472,7428678
2025-02-07,12452,12576,12392,12522,9438083
2025-02-10,12466,12615,12316,12601,12258511
2025-02-11,12641,12691,12542,12567,10124098
2025-02-12,12526,12546,12412,12522,6606403
2025-02-13,12601,12666,12477,12547,6464310
2025-02-14,12596,12815,12581,12756,6971160
2025-02-17,12810,12964,12770,12950,9714402
2025-02-18,12975,13014,12855,13010,8442776
2025-02-19,12985,13154,12955,13095,10695225
2025-02-20,13074,13189,12875,12920,9239857
2025-02-21,12910,13094,12880,13065,5848633
2025-02-24,12940,13115,12885,13115,6164806
2025-02-25,12935,13119,12910,13035,4389556
2025-02-26,13005,13139,12950,13045,5122670
2025-02-27,13095,13224,13060,13140,9113563
2025-02-28,12924,12944,12556,12591,11805863
2025-03-04,12507,12541,12357,12532,9878465
2025-03-05,12655,12755,12526,12621,10800442
2025-03-06,12705,12705,12287,12342,11959467
2025-03-07,12257,12417,12173,12208,11034300
2025-03-10,12147,12312,11970,12143,8538194
2025-03-11,11848,12068,11744,12068,8675908
2025-03-12,12043,12252,12023,12138,7225385
2025-03-13,12232,12292,12003,12008,6755813
2025-03-14,12043,12302,12018,12203,8219671
2025-03-17,12317,12502,12208,12502,8684248
2025-03-18,12586,12606,12452,12552,9407966
2025-03-19,12491,12621,12362,12382,7045325
2025-03-20,12496,12501,12068,12068,9843969
2025-03-21,11869,11988,11789,11869,11435604
2025-03-24,11939,12093,11879,11959,12476284
2025-03-25,12023,12043,11759,11789,9030291
2025-03-26,11874,11908,11629,11879,11166898
2025-03-27,11749,11904,11690,11700,8256620
2025-03-28,11734,11739,11430,11465,11787087
2025-03-31,11275,11385,11081,11141,18849841
2025-04-01,11225,11574,11185,11450,25425998
2025-04-02,11450,11500,11211,11286,9513666
2025-04-03,10962,11604,10942,11286,12556627
2025-04-04,11171,11640,11111,11371,23146409
2025-04-07,10887,11026,10698,10698,17714461
2025-04-08,10961,11056,10792,10862,24710720
2025-04-09,10787,10847,10458,10573,17090980
2025-04-10,11206,11305,11041,11256,18720843
2025-04-11,11081,11469,11061,11440,15865244
2025-04-14,11510,11714,11480,11685,13056300
2025-04-15,11645,11724,11530,11670,8228136
2025-04-16,11615,11625,11346,11346,8625820
2025-04-17,11415,11659,11415,11635,7184378
2025-04-18,11639,11739,11544,11739,6979957
2025-04-21,11704,11819,11605,11650,8701352
2025-04-22,11605,11714,11580,11660,6924666
2025-04-23,11829,11918,11764,11899,7781740
2025-04-24,11883,11958,11804,11869,7226315
2025-04-25,11928,11998,11869,11869,7848208
2025-04-28,11884,11944,11640,11700,12265341
2025-04-29,11765,11895,11735,11800,7191963
2025-04-30,11800,11855,11570,11645,11071665
2025-05-02,11620,11860,11565,11795,8789803
2025-05-07,11865,11865,11605,11700,8181868
2025-05-08,11750,11855,11720,11815,9453368
2025-05-09,11815,11830,11585,11655,7711224
2025-05-12,11680,11695,11520,11670,10185061
2025-05-13,11780,11925,11770,11785,8536494
2025-05-14,11775,11905,11620,11865,10990028
2025-05-15,11775,11885,11755,11770,9275170
2025-05-16,11800,11800,11572,11625,6954976
2025-05-19,11515,11565,11330,11450,10125503
2025-05-20,11560,11640,11390,11405,8608932
2025-05-21,11490,11655,11475,11545,8234234
2025-05-22,11505,11555,11405,11525,8140527
2025-05-23,11585,11585,11430,11490,7097866
2025-05-26,11575,11760,11555,11660,8477353
2025-05-27,11690,11750,11610,11750,5647050
2025-05-28,11795,11915,11765,11790,9717505
2025-05-29,11905,11950,11840,11910,7616909
2025-05-30,11860,11985,11830,11905,6067426
2025-06-02,11880,12070,11860,12020,7180038
2025-06-04,12125,12225,12080,12105,10245846
2025-06-05,12110,12360,12100,12170,10597546
2025-06-09,12265,12370,12200,12325,4778760
