Date,Open,High,Low,Close,Volume
2024-06-10,69400,70400,68600,69600,162126
2024-06-11,71500,73200,70500,72400,298020
2024-06-12,71900,75500,71300,74300,264670
2024-06-13,73600,74900,73100,73300,216303
2024-06-14,73300,77300,73000,76100,376511
2024-06-17,77000,77300,75600,76000,176411
2024-06-18,76700,77900,75900,77200,209680
2024-06-19,78200,81300,77500,79500,421626
2024-06-20,80400,82000,79800,80100,375789
2024-06-21,80000,83100,78900,80500,370361
2024-06-24,80500,87800,79900,86900,850264
2024-06-25,87800,91700,87300,88900,743182
2024-06-26,88400,91800,87900,90100,457562
2024-06-27,89200,93300,88100,93100,410985
2024-06-28,92600,94300,91600,93000,280933
2024-07-01,93400,95100,90900,94000,319279
2024-07-02,95000,95000,90600,93500,328915
2024-07-03,93500,94300,90600,91800,286755
2024-07-04,91100,96300,90000,95700,470242
2024-07-05,95600,95600,92100,93200,239408
2024-07-08,92300,97300,92100,96900,294900
2024-07-09,96600,97300,95600,95800,142948
2024-07-10,96200,102700,95900,100100,611954
2024-07-11,100400,104000,99300,100300,349229
2024-07-12,100400,101800,97400,100000,270883
2024-07-15,100200,101500,98000,99100,296706
2024-07-16,100500,103300,99000,102700,403600
2024-07-17,102800,104600,100200,101200,374766
2024-07-18,101000,102600,99500,100400,227084
2024-07-19,99800,99900,96200,97000,338404
2024-07-22,96300,100900,96300,99600,299154
2024-07-23,100900,104600,100200,104200,417591
2024-07-24,103600,105300,101300,103700,285518
2024-07-25,102300,106500,98400,102600,571622
2024-07-26,106400,114900,105800,113200,1155023
2024-07-29,113300,117900,111800,116800,502974
2024-07-30,116400,118800,113700,116300,321183
2024-07-31,116500,122800,115600,117500,531992
2024-08-01,115800,121900,113600,120000,332482
2024-08-02,117800,120000,113700,115300,397887
2024-08-05,109500,111400,92700,101000,988849
2024-08-06,108000,109300,102500,106200,752050
2024-08-07,106400,108300,102200,106600,452085
2024-08-08,104100,113000,102800,111300,448516
2024-08-09,112800,114400,108400,110700,269525
2024-08-12,112000,113000,106600,109900,247203
2024-08-13,108800,111700,108000,108600,181989
2024-08-14,110200,110600,105600,110000,224110
2024-08-16,111000,113400,106800,109100,301001
2024-08-19,110500,115300,110200,112000,260746
2024-08-20,114000,114500,111000,114200,213051
2024-08-21,115000,115200,112000,113500,187190
2024-08-22,113400,113700,105200,107100,542419
2024-08-23,105700,108900,103500,106600,388415
2024-08-26,105500,105600,99100,100500,770633
2024-08-27,101000,103900,99800,101900,239828
2024-08-28,101900,104800,101100,102300,223361
2024-08-29,103000,103800,100600,101200,120262
2024-08-30,101800,104200,100600,103100,194125
2024-09-02,103100,103900,100000,100700,209647
2024-09-03,100900,104100,99700,103400,229773
2024-09-04,100100,102400,98400,100200,266191
2024-09-05,101100,102200,94500,96400,336544
2024-09-06,96400,97400,93200,94600,219654
2024-09-09,92200,97700,92000,97300,202615
2024-09-10,99000,99600,96100,97300,194331
2024-09-11,98900,100600,95500,97400,208439
2024-09-12,98000,98400,93500,95300,409667
2024-09-13,95900,103100,95900,102100,458020
2024-09-19,104400,106200,102700,103400,232891
2024-09-20,104500,109000,104500,105900,252912
2024-09-23,106900,108300,105000,105900,164191
2024-09-24,106600,108100,105300,107600,173976
2024-09-25,109000,111600,106000,106200,252337
2024-09-26,106600,107900,103700,105200,186022
2024-09-27,105200,105500,97200,98900,415017
2024-09-30,99000,100200,97600,99700,180342
2024-10-02,97900,101600,96300,100000,203179
2024-10-04,100900,101900,99500,100900,122032
2024-10-07,100000,100000,94600,97700,292548
2024-10-08,98000,101800,97500,100000,228512
2024-10-10,100100,104800,99800,102400,282392
2024-10-11,103000,103400,98500,98500,136946
2024-10-14,98500,101500,97500,100600,132527
2024-10-15,101000,106000,101000,102900,218301
2024-10-16,102700,105000,100500,102400,120731
2024-10-17,102800,110100,101300,109700,384321
2024-10-18,109800,110500,104500,105700,203990
2024-10-21,106100,106900,103500,105300,113815
2024-10-22,104500,110000,103800,107600,381795
2024-10-23,107600,113000,107100,109100,364114
2024-10-24,108900,111900,106600,108800,263526
2024-10-25,109400,113500,108100,110500,263182
2024-10-28,111400,111400,103600,104900,268038
2024-10-29,104000,108700,103800,106800,212564
2024-10-30,106800,109600,104600,108100,218885
2024-10-31,108100,112000,103500,109800,513702
2024-11-01,109000,110700,101000,104500,446740
2024-11-04,104400,104800,101100,103900,215454
2024-11-05,103100,108400,102500,103800,217913
2024-11-06,104400,110400,101900,110000,397263
2024-11-07,111600,119500,111100,115600,784135
2024-11-08,116900,118300,108200,110000,555872
2024-11-11,111500,113100,109600,111900,275870
2024-11-12,112600,114800,108100,108200,276090
2024-11-13,108200,111000,107100,108200,252492
2024-11-14,109200,112900,108000,111000,277466
2024-11-15,111800,112300,107300,109700,172245
2024-11-18,108700,113200,106000,110900,279369
2024-11-19,110900,121700,110900,118200,589767
2024-11-20,117200,123500,116900,122100,439614
2024-11-21,122600,125600,118300,122000,356334
2024-11-22,121600,124300,119500,122300,244332
2024-11-25,123700,127800,122100,125000,336576
2024-11-26,123800,127500,122000,125200,247655
2024-11-27,124100,129000,124100,126200,262945
2024-11-28,127800,130800,124100,125700,232076
2024-11-29,126200,127200,122300,125600,194239
2024-12-02,127600,127700,118000,119700,309679
2024-12-03,120900,125500,120100,123800,208507
2024-12-04,121000,123700,118500,122600,278860
2024-12-05,121800,123600,119600,121200,155641
2024-12-06,120000,120800,112100,119000,344921
2024-12-09,114000,118500,113600,115200,258463
2024-12-10,116300,123900,115900,122100,272702
2024-12-11,122200,134400,121600,134400,582116
2024-12-12,134400,137600,132500,136000,439564
2024-12-13,135000,137200,133600,136300,417240
2024-12-16,137400,137600,133000,135300,281290
2024-12-17,135300,138800,133500,137700,289901
2024-12-18,136100,140000,133500,135200,362498
2024-12-19,131200,140600,131000,138500,350884
2024-12-20,137300,141000,136500,138900,261640
2024-12-23,138900,142500,136800,138800,314599
2024-12-24,139700,140100,131400,133800,480080
2024-12-26,135400,138300,134200,135600,453301
2024-12-27,135600,136700,133000,135000,217820
2024-12-30,134500,135600,131000,134200,201070
2025-01-02,135100,137500,133500,134500,267600
2025-01-03,134500,136400,126100,127900,832654
2025-01-06,128000,129900,123900,129100,399991
2025-01-07,131400,134200,128900,131900,420695
2025-01-08,133000,136300,130800,135400,368616
2025-01-09,135700,142000,133300,138700,466697
2025-01-10,138300,140000,135400,138700,256112
2025-01-13,139000,139000,131200,134200,396895
2025-01-14,134900,136400,130700,131500,419403
2025-01-15,132900,137800,130900,137000,545418
2025-01-16,137000,137000,131500,132000,585870
2025-01-17,131600,131600,127800,128300,478258
2025-01-20,128900,131500,126300,129300,315477
2025-01-21,132000,144300,130700,141800,1427239
2025-01-22,141800,141800,134700,135000,735210
2025-01-23,133700,134000,124600,124700,1158017
