Date,Open,High,Low,Close,Volume
2024-06-10,7040,7500,6940,7080,1724061
2024-06-11,7070,7180,6950,7110,541685
2024-06-12,7050,7400,7050,7340,1053975
2024-06-13,7350,7470,7210,7430,689497
2024-06-14,7510,7570,7070,7170,1259255
2024-06-17,7080,7170,6750,6840,731609
2024-06-18,6780,7060,6780,6940,384424
2024-06-19,6970,6990,6780,6860,366312
2024-06-20,6820,6880,6710,6820,312628
2024-06-21,6870,6980,6690,6940,378214
2024-06-24,6900,6950,6480,6550,638333
2024-06-25,6640,6720,6400,6510,546013
2024-06-26,6580,6710,6520,6660,214344
2024-06-27,6690,6700,6550,6610,259849
2024-06-28,6610,6650,6550,6620,157215
2024-07-01,6690,6790,6560,6630,271261
2024-07-02,6590,6660,6410,6500,233105
2024-07-03,6540,6680,6420,6630,230461
2024-07-04,6740,7280,6690,6940,2959759
2024-07-05,6990,7060,6840,6920,566440
2024-07-08,6890,6970,6810,6920,316503
2024-07-09,6940,7240,6930,7180,807048
2024-07-10,7250,7300,7080,7150,548359
2024-07-11,7140,7160,6600,6720,837066
2024-07-12,6660,6900,6330,6370,642643
2024-07-15,6300,6390,6200,6360,238153
2024-07-16,6390,6570,6200,6540,345512
2024-07-17,6500,6590,6340,6340,175392
2024-07-18,6230,6280,6000,6000,422548
2024-07-19,6000,6050,5880,5930,170117
2024-07-22,5930,6000,5770,5960,271598
2024-07-23,6100,6150,5880,5920,231642
2024-07-24,5820,6000,5820,5910,102726
2024-07-25,5830,5900,5630,5820,202863
2024-07-26,5760,5830,5670,5710,190838
2024-07-29,5770,5900,5650,5840,140842
2024-07-30,6000,6030,5820,5840,206413
2024-07-31,5840,5890,5770,5840,86764
2024-08-01,5890,5950,5820,5860,88871
2024-08-02,5680,5770,5600,5650,148353
2024-08-05,5560,5560,4550,4720,416235
2024-08-06,4735,5180,4735,4980,220817
2024-08-07,5000,5330,5000,5210,113543
2024-08-08,5190,5230,5040,5070,96664
2024-08-09,5190,5270,5050,5110,120566
2024-08-12,5090,5360,5090,5240,97212
2024-08-13,5240,5310,5090,5300,123856
2024-08-14,5440,5580,5370,5460,179240
2024-08-16,5550,5600,5450,5600,158632
2024-08-19,5800,5800,5470,5490,136958
2024-08-20,5460,5630,5460,5590,118654
2024-08-21,5550,5650,5520,5650,93384
2024-08-22,5800,5800,5540,5600,130199
2024-08-23,5600,5610,5520,5530,78715
2024-08-26,5500,5550,5340,5370,138735
2024-08-27,5400,5400,5210,5300,55342
2024-08-28,5250,5330,5150,5260,95650
2024-08-29,5260,5440,5150,5210,172101
2024-08-30,5180,5340,5180,5320,78164
2024-09-02,5450,5630,5310,5510,222506
2024-09-03,5560,5640,5400,5400,129352
2024-09-04,5270,5270,5040,5140,155428
2024-09-05,5140,5250,4990,5070,87219
2024-09-06,5110,5380,4975,4975,197744
2024-09-09,4830,5140,4780,5100,92743
2024-09-10,5130,5140,5000,5050,66104
2024-09-11,5130,5130,4825,4950,210452
2024-09-12,5020,5390,5020,5350,273072
2024-09-13,5350,5380,5220,5350,98856
2024-09-19,5470,5620,5320,5590,223759
2024-09-20,5640,5690,5550,5610,201889
2024-09-23,5560,5640,5490,5500,133361
2024-09-24,5520,5620,5480,5560,105845
2024-09-25,5590,5600,5450,5460,147841
2024-09-26,5600,5740,5580,5680,203671
2024-09-27,5690,5740,5620,5700,103322
2024-09-30,5700,5720,5540,5560,107945
2024-10-02,5450,5770,5430,5720,194163
2024-10-04,5720,5760,5570,5580,141270
2024-10-07,5670,5770,5600,5750,161716
2024-10-08,5680,5790,5620,5640,120918
2024-10-10,5690,5690,5500,5500,116172
2024-10-11,5500,5610,5400,5410,136939
2024-10-14,5370,5410,5280,5350,152334
2024-10-15,5350,5690,5290,5300,338506
2024-10-16,5290,5290,5100,5180,156609
2024-10-17,5180,5200,5100,5110,64799
2024-10-18,5130,5140,4955,4985,110360
2024-10-21,4995,5080,4980,5030,80936
2024-10-22,5010,5030,4805,4815,179518
2024-10-23,4815,4865,4705,4850,132551
2024-10-24,4775,4810,4700,4705,118045
2024-10-25,4705,4805,4595,4690,133363
2024-10-28,4705,4910,4705,4870,90220
2024-10-29,4955,5100,4930,4985,150944
2024-10-30,5080,5080,4980,4990,63696
2024-10-31,4990,5080,4905,4985,84327
2024-11-01,4905,4980,4875,4910,84993
2024-11-04,4910,4935,4740,4900,92451
2024-11-05,4905,4930,4855,4895,47666
2024-11-06,4955,4955,4740,4810,93764
2024-11-07,4850,5130,4850,5070,195609
2024-11-08,5100,5150,4995,5100,83156
2024-11-11,5130,5130,5000,5130,108278
2024-11-12,5190,5230,5020,5020,248315
2024-11-13,4960,4985,4785,4810,160240
2024-11-14,4855,4885,4610,4665,148278
2024-11-15,4405,4520,4325,4500,296521
2024-11-18,4500,4900,4450,4700,515160
2024-11-19,4875,5370,4830,5000,1044394
2024-11-20,5050,5070,4880,4920,248204
2024-11-21,4935,4935,4810,4855,137924
2024-11-22,4945,5060,4880,4900,165777
2024-11-25,5030,5090,4965,5060,116339
2024-11-26,5070,5230,5020,5230,172917
2024-11-27,5280,5280,5090,5170,134020
2024-11-28,5180,5180,5030,5040,125323
2024-11-29,5140,5250,4985,5100,215546
2024-12-02,5160,5300,5050,5090,173056
2024-12-03,5060,5150,5020,5070,149030
2024-12-04,4980,5220,4720,4795,420209
2024-12-05,4805,4850,4695,4700,114954
2024-12-06,4700,4725,4470,4605,175071
2024-12-09,4410,4605,4170,4170,256160
