Date,Open,High,Low,Close,Volume
2024-06-10,39050,39200,37450,38150,759016
2024-06-11,38100,43700,38050,40500,5234587
2024-06-12,40550,42000,40100,41050,1407722
2024-06-13,41900,44300,40700,42900,2954158
2024-06-14,43050,43700,41250,41900,1586319
2024-06-17,41950,42450,41350,41600,658634
2024-06-18,41900,42450,40200,40500,868953
2024-06-19,40700,40800,39600,40250,660999
2024-06-20,40000,40750,39400,39750,495310
2024-06-21,39650,40350,38950,39250,547206
2024-06-24,38950,39450,38300,38450,415410
2024-06-25,38400,38850,37550,37800,443822
2024-06-26,37650,37900,37300,37450,364042
2024-06-27,37400,38650,37250,37650,433507
2024-06-28,37500,39500,37300,38350,641258
2024-07-01,38350,39000,37900,38750,468074
2024-07-02,38550,38700,36700,36750,571621
2024-07-03,37300,38150,36750,36850,580150
2024-07-04,37000,37550,36800,37050,358773
2024-07-05,37250,37750,36700,37350,439454
2024-07-08,37350,38250,36500,37850,475945
2024-07-09,38350,38350,37000,37050,399316
2024-07-10,37050,37350,36800,37200,306938
2024-07-11,37450,38450,36900,37700,961315
2024-07-12,37400,38200,37100,37100,419122
2024-07-15,37350,37600,35850,36000,547980
2024-07-16,36000,36150,34800,34800,519563
2024-07-17,34800,35100,34000,34000,495898
2024-07-18,33500,34450,33250,33750,443784
2024-07-19,33800,34750,33650,34650,372210
2024-07-22,34550,34550,32400,33000,477934
2024-07-23,33100,33600,32150,32150,449415
2024-07-24,31650,32400,31550,31550,365400
2024-07-25,30650,31450,29800,30800,707371
2024-07-26,30750,31000,29200,29250,794772
2024-07-29,29000,29550,29000,29400,451429
2024-07-30,29300,29800,28750,28800,372443
2024-07-31,28800,29150,28300,28900,331223
2024-08-01,28950,30100,28750,29650,476072
2024-08-02,28900,29300,28250,28500,410262
2024-08-05,27900,28150,24300,24850,991294
2024-08-06,25000,27750,25000,27000,948521
2024-08-07,26600,27400,26450,27100,379944
2024-08-08,26900,27150,25850,25900,464193
2024-08-09,26350,27100,26300,26600,348922
2024-08-12,26600,27300,26550,26700,272136
2024-08-13,26700,26700,25950,26250,247613
2024-08-14,26700,27150,26600,26850,348914
2024-08-16,27550,27600,27000,27150,276242
2024-08-19,27100,27250,26050,26250,313229
2024-08-20,26600,26700,26150,26400,277598
2024-08-21,26450,27400,26250,26950,331309
2024-08-22,27050,30000,27050,29050,2664333
2024-08-23,28450,29000,27500,27950,782828
2024-08-26,28200,28500,27300,27550,439058
2024-08-27,27300,27550,26950,27050,279135
2024-08-28,26900,27100,25850,26000,465014
2024-08-29,25750,26700,25350,26450,416085
2024-08-30,26550,26850,26200,26600,335566
2024-09-02,26900,31700,26650,30400,5647144
2024-09-03,30650,32600,30400,30650,2427046
2024-09-04,29100,31000,28900,29700,1130115
2024-09-05,30050,30500,27750,27850,921644
2024-09-06,27850,28600,25800,25800,974304
2024-09-09,25000,26100,24950,25700,559225
2024-09-10,26050,27150,25950,26100,557644
2024-09-11,26550,27500,26500,27150,506654
2024-09-12,27900,29400,27600,29350,1130861
2024-09-13,29550,29600,28550,29350,508835
2024-09-19,29350,29500,28050,29050,440934
2024-09-20,30000,30100,28550,28650,679344
2024-09-23,28700,29750,28350,29600,644589
2024-09-24,29900,30750,29350,30200,975528
2024-09-25,30150,33500,30050,31350,4240997
2024-09-26,31700,32600,31000,32450,1128346
2024-09-27,32700,32750,31650,31650,866421
2024-09-30,31950,32250,30450,30500,741438
2024-10-02,30000,30700,29800,29850,516699
2024-10-04,29800,30050,29400,29600,371162
2024-10-07,29900,31150,29550,30900,668202
2024-10-08,30600,30650,29750,30250,499461
2024-10-10,30700,30700,29850,30150,393099
2024-10-11,30200,30550,29050,29100,476983
2024-10-14,28800,29400,28500,28950,330506
2024-10-15,29200,29550,28100,28300,459137
2024-10-16,28350,28600,28000,28350,342342
2024-10-17,28100,28800,28000,28000,282086
2024-10-18,28050,28300,27100,27350,323384
2024-10-21,27350,27650,27100,27100,231268
2024-10-22,26800,27100,25900,26000,395238
2024-10-23,26000,27350,25750,26950,360313
2024-10-24,27000,27400,26300,26450,279988
