Date,Open,High,Low,Close,Volume
2024-06-10,585,598,584,596,170731
2024-06-11,595,627,585,625,271653
2024-06-12,621,626,620,625,107563
2024-06-13,624,630,622,627,54840
2024-06-14,627,633,618,618,95916
2024-06-17,621,621,609,614,162720
2024-06-18,614,614,602,609,64631
2024-06-19,608,615,601,607,60618
2024-06-20,607,610,602,608,33726
2024-06-21,607,611,602,602,32713
2024-06-24,606,610,598,601,61230
2024-06-25,601,604,597,603,33467
2024-06-26,603,607,598,598,94593
2024-06-27,598,604,590,602,67116
2024-06-28,602,602,590,596,36093
2024-07-01,596,599,587,598,25713
2024-07-02,594,610,594,603,96339
2024-07-03,599,604,597,597,29527
2024-07-04,597,598,550,575,308026
2024-07-05,578,581,567,575,59313
2024-07-08,578,578,567,573,33590
2024-07-09,576,593,550,564,119417
2024-07-10,564,576,559,571,97224
2024-07-11,571,583,570,580,71023
2024-07-12,579,588,572,584,39123
2024-07-15,584,619,581,597,276281
2024-07-16,599,603,586,586,40475
2024-07-17,586,592,571,587,131452
2024-07-18,588,592,576,576,45512
2024-07-19,576,579,567,574,43677
2024-07-22,574,574,557,562,107300
2024-07-23,562,568,545,545,195551
2024-07-24,547,553,545,552,76354
2024-07-25,552,558,548,549,64191
2024-07-26,549,561,549,560,72524
2024-07-29,560,578,560,572,107347
2024-07-30,575,575,559,573,67084
2024-07-31,567,568,553,556,58908
2024-08-01,556,562,554,559,62901
2024-08-02,559,563,545,546,125059
2024-08-05,538,552,471,517,329377
2024-08-06,512,548,512,540,201285
2024-08-07,540,550,539,543,37943
2024-08-08,540,550,540,547,22019
2024-08-09,547,561,547,561,39835
2024-08-12,555,561,551,558,27138
2024-08-13,558,560,553,556,61809
2024-08-14,565,572,550,567,81476
2024-08-16,563,577,556,563,37603
2024-08-19,562,564,556,560,36955
2024-08-20,557,566,544,560,45344
2024-08-21,560,563,556,561,75643
2024-08-22,555,561,555,561,9815
2024-08-23,557,557,548,548,37776
2024-08-26,543,548,524,531,187290
2024-08-27,518,529,510,519,138459
2024-08-28,519,526,513,523,49311
2024-08-29,523,525,513,520,40675
2024-08-30,514,523,513,518,21953
2024-09-02,518,518,512,515,36301
2024-09-03,509,515,509,514,49395
2024-09-04,502,510,500,503,69319
2024-09-05,503,505,494,501,185910
2024-09-06,501,506,485,502,161017
2024-09-09,500,502,494,494,79834
2024-09-10,494,510,489,509,91816
2024-09-11,509,517,487,490,140053
2024-09-12,491,503,491,502,62480
2024-09-13,505,505,493,497,68847
2024-09-19,497,500,485,497,87855
2024-09-20,497,504,491,501,71437
2024-09-23,501,504,493,493,72407
2024-09-24,496,504,491,499,83144
2024-09-25,499,502,482,487,108904
2024-09-26,487,499,487,494,78571
2024-09-27,491,496,480,487,89407
2024-09-30,487,487,469,479,131344
2024-10-02,479,487,468,481,99612
2024-10-04,478,500,478,484,118857
2024-10-07,484,507,484,488,82539
2024-10-08,492,496,488,494,36952
2024-10-10,494,501,492,495,61759
2024-10-11,495,503,490,493,53258
2024-10-14,492,493,479,492,74123
2024-10-15,492,509,490,500,66679
2024-10-16,497,503,493,493,52677
2024-10-17,493,496,487,495,35093
2024-10-18,492,492,485,487,53359
2024-10-21,487,491,480,491,34291
2024-10-22,491,494,488,491,16901
2024-10-23,491,495,486,493,45022
2024-10-24,492,519,485,492,58388
2024-10-25,492,492,487,491,17411
2024-10-28,491,506,485,498,49764
2024-10-29,501,508,490,495,53737
2024-10-30,495,500,489,494,28810
2024-10-31,494,497,488,492,16978
2024-11-01,492,492,482,487,40418
2024-11-04,487,506,487,495,110669
2024-11-05,498,499,488,494,17194
2024-11-06,494,510,485,486,218517
2024-11-07,489,492,479,488,102365
2024-11-08,486,490,480,484,48327
2024-11-11,479,490,479,488,154435
2024-11-12,485,493,479,484,86248
2024-11-13,479,483,465,476,131851
2024-11-14,471,481,462,472,83756
2024-11-15,471,477,446,476,119920
2024-11-18,480,480,473,475,10801
2024-11-19,478,482,467,482,27799
2024-11-20,476,485,450,477,34757
2024-11-21,480,480,467,467,21397
2024-11-22,466,466,455,461,51797
2024-11-25,456,461,451,454,72585
2024-11-26,457,457,447,453,50310
2024-11-27,457,491,447,461,262342
2024-11-28,464,464,456,462,18328
2024-11-29,462,462,451,460,31284
2024-12-02,453,460,448,458,20763
2024-12-03,449,458,442,443,85306
2024-12-04,443,455,440,455,125279
2024-12-05,458,462,448,459,32945
2024-12-06,462,468,451,459,84112
2024-12-09,459,459,416,435,285045
2024-12-10,435,462,424,460,210050
2024-12-11,463,500,460,481,273461
2024-12-12,481,506,477,485,116326
2024-12-13,488,507,480,503,254417
2024-12-16,503,503,488,502,102247
2024-12-17,509,509,490,493,59754
2024-12-18,500,505,493,497,38569
2024-12-19,497,497,480,485,46995
2024-12-20,485,501,466,479,107185
2024-12-23,479,490,469,484,55900
2024-12-24,484,484,471,483,100228
2024-12-26,486,490,474,486,32639
2024-12-27,485,485,469,473,51510
2024-12-30,475,492,475,489,133060
2025-01-02,489,496,479,492,64352
2025-01-03,492,495,485,494,26586
2025-01-06,490,507,489,500,56725
2025-01-07,500,503,482,490,51292
2025-01-08,490,496,483,492,16743
2025-01-09,495,495,487,495,17935
