Date,Open,High,Low,Close,Volume
2024-06-10,83500,84400,81900,82300,5669
2024-06-11,82400,82800,80100,80800,6125
2024-06-12,81900,87900,81100,85500,13968
2024-06-13,86500,88300,84500,87400,17415
2024-06-14,87300,87300,82800,82900,8375
2024-06-17,83900,83900,82100,83400,5825
2024-06-18,83000,85000,82200,84500,10652
2024-06-19,84100,88000,84100,84900,13078
2024-06-20,84500,86000,82800,85000,6323
2024-06-21,85000,85600,84000,85400,2630
2024-06-24,85500,85500,82200,83300,7825
2024-06-25,83300,84700,83200,84700,6978
2024-06-26,83700,86400,83700,85400,6114
2024-06-27,84400,86000,84100,84200,8016
2024-06-28,84400,88000,84300,87500,9999
2024-07-01,87500,87600,84100,86100,6021
2024-07-02,86000,86600,84500,84900,3154
2024-07-03,84800,88900,84600,88200,11612
2024-07-04,88300,90900,86900,89500,11847
2024-07-05,89500,90800,86100,89000,23886
2024-07-08,89900,90900,86500,88000,19391
2024-07-09,91400,112700,91400,101000,270752
2024-07-10,104000,109500,103300,105600,111578
2024-07-11,106000,117800,106000,114400,142821
2024-07-12,130200,133000,112800,120000,288811
2024-07-15,123000,133200,123000,133200,169716
2024-07-16,133200,133300,115000,122400,152017
2024-07-17,120000,125700,115300,116800,71107
2024-07-18,122800,135000,116000,118500,85054
2024-07-19,117000,118400,112100,115100,40643
2024-07-22,114800,114800,104100,105400,48191
2024-07-23,105300,113300,105300,109000,43767
2024-07-24,108500,112500,103100,103500,33000
2024-07-25,97300,100000,94900,96800,46721
2024-07-26,96100,96800,90000,94000,32666
2024-07-29,94100,94800,89000,94300,33803
2024-07-30,94300,95000,92200,94800,12420
2024-07-31,94000,105800,93000,99800,45024
2024-08-01,101700,101900,97000,99500,16649
2024-08-02,96500,96500,91300,92900,21642
2024-08-05,89400,90000,80600,83900,46077
2024-08-06,84000,87000,79300,84200,42135
2024-08-07,84300,86800,84200,84300,15250
2024-08-08,83800,83800,80500,80700,23796
2024-08-09,82900,83000,80000,80400,15168
2024-08-12,80500,87200,80500,86900,33585
2024-08-13,87800,88500,84300,85000,16691
2024-08-14,85900,87700,83800,84700,21884
2024-08-16,85700,87200,85200,86600,18833
2024-08-19,86700,86800,82400,83700,14746
2024-08-20,84500,85400,83300,84100,8430
2024-08-21,83600,84000,82600,83400,9247
2024-08-22,83400,83800,81000,81300,16799
2024-08-23,81300,83000,80700,81300,5091
2024-08-26,81300,81300,77900,78700,18138
2024-08-27,77800,81200,76500,80000,17323
2024-08-28,80700,80700,77400,78200,7762
2024-08-29,77500,79000,76000,78300,11960
2024-08-30,79300,79900,78100,78900,8914
2024-09-02,78700,78800,76500,78000,9970
2024-09-03,77400,80700,77300,80000,12256
2024-09-04,78000,79000,76000,76400,11648
2024-09-05,77300,79100,73800,74400,15302
2024-09-06,75300,75300,72400,72400,9187
2024-09-09,71000,72400,69300,71600,11203
2024-09-10,71000,74200,71000,72500,7397
2024-09-11,73000,75300,71300,71900,6679
2024-09-12,72900,79300,72900,78700,18308
2024-09-13,78700,80500,77100,77800,10803
2024-09-19,78100,80200,77600,80200,10587
2024-09-20,80900,82500,79900,81300,17581
2024-09-23,81300,83900,81000,82400,13022
2024-09-24,83000,83400,80800,81500,16915
2024-09-25,81800,83100,78700,81200,12731
2024-09-26,81200,84500,80700,83500,15783
2024-09-27,84300,85300,81800,82000,14275
2024-09-30,82000,83600,80500,80500,8506
2024-10-02,81200,81200,78800,79300,7883
2024-10-04,79300,80800,77800,79600,5937
2024-10-07,80500,81000,78900,80400,17234
2024-10-08,80400,81000,79700,80600,7405
2024-10-10,81300,83500,76700,81700,14227
2024-10-11,81500,89700,81500,84300,34447
2024-10-14,84400,88800,83900,86600,28243
2024-10-15,87500,89700,84800,85400,16217
2024-10-16,85400,87800,82400,86700,13717
2024-10-17,89900,96500,89400,96500,61303
2024-10-18,94500,95900,93000,93600,19121
2024-10-21,95200,100400,95200,99400,29638
2024-10-22,99300,102300,98500,99400,25118
2024-10-23,98800,99400,95600,97500,20815
2024-10-24,95800,101300,95500,99700,15650
2024-10-25,99700,104400,99700,100900,21351
2024-10-28,101000,105000,101000,104800,26405
2024-10-29,105100,107700,102300,103700,24665
2024-10-30,103000,105000,102000,104400,13403
2024-10-31,101400,102900,98000,102500,22202
2024-11-01,99800,102500,96500,97200,31931
2024-11-04,97200,100700,94400,100000,20293
2024-11-05,100000,108200,99000,105000,31818
2024-11-06,104900,108900,104400,105100,36831
2024-11-07,104700,109300,104700,108500,30936
2024-11-08,108400,110000,106700,109000,19802
2024-11-11,109900,110600,106700,107700,20208
2024-11-12,107700,108500,102000,102700,27653
2024-11-13,102600,104500,100400,101900,18217
2024-11-14,102000,107500,102000,105800,25265
2024-11-15,105900,108000,103300,107000,21339
2024-11-18,106100,108500,98000,99200,26818
2024-11-19,99900,101000,96000,99400,16648
2024-11-20,101700,102300,98000,98500,13606
2024-11-21,98200,102900,98200,101700,13094
2024-11-22,101200,105800,101200,105000,18007
2024-11-25,105100,106900,101500,102200,17268
2024-11-26,102100,102300,99300,100300,15169
2024-11-27,100300,101200,96000,96500,14623
2024-11-28,95500,98300,95200,96300,6367
2024-11-29,95100,96800,93200,96000,15728
2024-12-02,96000,97000,93000,96000,9868
2024-12-03,96000,101200,96000,101100,18352
2024-12-04,97500,100400,95200,98800,30817
2024-12-05,98800,103800,98200,102200,22790
2024-12-06,102200,103500,97300,103400,19938
2024-12-09,100200,101500,97600,100000,19933
2024-12-10,100000,105000,96900,99100,20093
2024-12-11,98900,101500,97100,100200,10263
2024-12-12,99700,107000,99700,106300,26894
2024-12-13,106700,107700,104400,105600,12196
2024-12-16,106800,112700,105800,112200,29259
2024-12-17,113000,114700,110400,112200,16637
2024-12-18,110100,112000,107100,110400,25231
2024-12-19,110000,110200,105500,109300,9989
2024-12-20,113200,113200,108000,108800,10860
2024-12-23,110000,111300,107300,107600,7500
2024-12-24,108900,111700,107000,111000,16274
2024-12-26,111000,112700,107300,107700,13935
2024-12-27,107700,109700,103500,106400,9219
2024-12-30,107000,107000,103200,105300,5663
2025-01-02,105300,114000,105200,112800,11337
2025-01-03,112800,122400,107200,121600,23824
2025-01-06,121400,123500,119600,122700,13221
2025-01-07,122700,124500,119200,121900,11335
2025-01-08,119700,122900,119700,122200,5316
2025-01-09,122300,124000,118500,122000,10644
2025-01-10,123400,123500,119700,120400,6654
2025-01-13,119700,120400,117200,117800,5166
2025-01-14,117800,118000,114500,115400,4329
2025-01-15,117800,117800,115000,116200,2436
2025-01-16,118000,127300,118000,126700,30969
2025-01-17,126700,130000,122000,124500,22896
2025-01-20,129000,137700,125200,131600,36212
2025-01-21,134600,144800,134100,142300,44760
2025-01-22,143300,154700,143300,153500,43920
2025-01-23,153300,153900,143800,148300,30218
2025-01-24,148300,155700,146000,155500,23914
2025-01-31,143000,149000,135000,138200,50286
2025-02-03,138100,138100,127200,129200,32448
2025-02-04,135100,137000,131100,132600,20066
2025-02-05,134000,135000,129200,131700,18633
2025-02-06,135000,137700,125000,132700,17656
2025-02-07,135400,135400,127500,130100,15801
2025-02-10,131600,134300,126100,133100,25596
2025-02-11,133100,138400,132600,133400,14017
2025-02-12,133600,137800,130500,137600,18885
2025-02-13,137600,143800,133000,143000,27592
2025-02-14,144000,147100,140500,144800,24183
2025-02-17,144800,149000,140500,144400,28161
2025-02-18,144400,158900,144400,158000,37419
2025-02-19,159000,160500,153100,157600,19601
2025-02-20,155600,157600,148500,150200,18209
2025-02-21,150700,164000,149800,161200,27705
2025-02-24,153500,160700,151600,157900,15164
2025-02-25,151400,157800,151200,156500,7420
2025-02-26,164500,164500,156000,158400,11564
2025-02-27,161000,162000,154100,154300,11627
2025-02-28,145600,149800,143200,143300,14331
2025-03-04,144800,148700,134600,148700,17213
2025-03-05,148700,152500,146500,151800,10798
2025-03-06,153900,153900,146200,147600,14079
2025-03-07,144000,149900,143400,147200,6432
2025-03-10,147500,149800,143300,144700,10561
2025-03-11,140600,152000,134000,151600,24837
2025-03-12,151600,155500,150900,153200,15652
2025-03-13,153200,156200,149800,150600,12834
2025-03-14,148300,153400,148300,152300,9188
2025-03-17,152900,153000,148000,149500,11293
2025-03-18,149500,155000,146200,151200,12863
2025-03-19,152900,152900,145600,145600,18433
2025-03-20,146000,147600,143600,145800,10338
2025-03-21,145500,148800,142600,147300,8589
2025-03-24,147400,147700,144500,145700,9741
2025-03-25,145700,149800,142800,142900,8530
2025-03-26,142900,147000,142000,145400,7423
2025-03-27,144700,144800,139700,139800,9525
2025-03-28,139800,140200,135000,136200,12296
2025-03-31,130800,137500,130000,131800,14012
2025-04-01,133200,137200,132100,136100,7299
2025-04-02,136100,137000,133900,134600,10418
2025-04-03,132000,140000,128600,140000,8091
2025-04-04,140000,140000,121800,128000,26702
2025-04-07,118500,122000,115200,115700,15257
2025-04-08,119800,124900,118500,119200,13645
2025-04-09,119200,121900,116500,120200,7195
2025-04-10,135100,135100,129000,132400,18282
2025-04-11,126500,132300,126500,132200,5460
2025-04-14,132300,136400,130000,133200,8284
2025-04-15,136600,142300,134100,141700,11546
2025-04-16,142700,145200,133500,139800,29097
2025-04-17,139800,145400,139000,144400,17744
2025-04-18,151900,152800,145300,152800,25797
2025-04-21,157500,163500,153400,155800,44125
2025-04-22,155800,162800,151300,152600,32588
2025-04-23,158500,161300,156400,160600,19449
2025-04-24,161300,161300,155400,158900,17076
2025-04-25,160200,169300,160200,169000,34877
2025-04-28,169100,177500,166000,169500,34899
2025-04-29,169500,176500,169500,176000,33154
2025-04-30,178800,181000,169900,171900,49458
2025-05-02,176000,188100,175600,181900,66916
2025-05-07,181900,189500,181000,189000,64638
2025-05-08,192500,203000,191000,201000,57023
2025-05-09,208000,219000,205000,218500,90257
2025-05-12,230000,257000,204500,221500,168513
2025-05-13,225000,237500,212500,232000,74669
2025-05-14,241500,248500,234500,246500,103704
2025-05-15,245500,245500,231000,234500,94989
2025-05-16,234500,256000,234500,252500,110419
2025-05-19,252000,259500,240500,259500,87914
2025-05-20,267000,297000,262500,295500,141016
2025-05-21,303500,318000,276500,289000,171309
2025-05-22,281000,288500,275000,279000,80003
2025-05-23,289000,289500,278000,280000,86194
2025-05-26,289500,290000,261000,282500,79902
2025-05-27,282500,316500,278000,316000,102978
2025-05-28,323500,350000,305000,318500,151481
2025-05-29,339000,351000,324000,346000,124885
2025-05-30,346000,346000,326000,327500,84513
2025-06-02,310500,333000,308000,323500,63430
2025-06-04,327000,346500,324000,343000,72501
2025-06-05,354000,360000,336000,347000,80114
2025-06-09,355000,414000,355000,402000,146026
