Date,Open,High,Low,Close,Volume
2024-06-10,35650,36000,34200,34700,122840
2024-06-11,35950,35950,33650,34300,130950
2024-06-12,35350,36900,34000,36050,263265
2024-06-13,37900,46850,37450,46850,1650991
2024-06-14,50600,57800,48300,56300,2946165
2024-06-17,55900,60300,52500,54200,817491
2024-06-18,54100,54600,50500,52400,447161
2024-06-19,50600,51200,47300,48700,405506
2024-06-20,48700,49450,46850,47100,272263
2024-06-21,46700,50500,46050,48600,467471
2024-06-24,50000,51000,45450,45900,294628
2024-06-25,45900,47250,44450,44900,114740
2024-06-26,44800,45550,42900,43800,137992
2024-06-27,43800,44950,42700,43350,95076
2024-06-28,43700,44400,42750,43900,113505
2024-07-01,44700,46150,41250,41250,230658
2024-07-02,41400,42000,39250,40100,113350
2024-07-03,40100,40200,38350,39700,71535
2024-07-04,40050,40050,38700,39450,52272
2024-07-05,39950,40250,38450,38450,66742
2024-07-08,38650,41200,38000,39950,95189
2024-07-09,40850,42700,40150,41700,148528
2024-07-10,41500,41850,40500,41850,52065
2024-07-11,42150,44100,40800,41100,172150
2024-07-12,40850,41100,39000,39300,53295
2024-07-15,39450,41200,38600,40350,53577
2024-07-16,40350,40550,38950,39100,43327
2024-07-17,40200,40700,39500,39950,49631
2024-07-18,39950,40350,38750,39500,34125
2024-07-19,39300,41600,38450,41400,63547
2024-07-22,42150,42450,38950,39850,63245
2024-07-23,40400,40600,39050,40200,42994
2024-07-24,41200,44900,40900,43950,338850
2024-07-25,43200,43850,40500,40700,116175
2024-07-26,41100,42100,39050,39200,75101
2024-07-29,39300,40850,39200,40600,47735
2024-07-30,40900,40900,36850,39000,95693
2024-07-31,38250,39500,38250,39150,45131
2024-08-01,39800,40650,39600,39800,44279
2024-08-02,38600,39400,35900,36500,65356
2024-08-05,36000,36000,28100,32200,95410
2024-08-06,32550,34850,32200,33100,53625
2024-08-07,33100,36300,33050,35700,49851
2024-08-08,36800,38450,34750,35400,83934
2024-08-09,36500,41700,36250,40900,255829
2024-08-12,41450,41450,38600,39000,90715
2024-08-13,39000,40650,38900,39950,61093
2024-08-14,40250,41900,37450,39350,180049
2024-08-16,40000,40150,38500,38550,53005
2024-08-19,39800,40850,38600,38900,72461
2024-08-20,39100,40000,38250,39200,36533
2024-08-21,38300,39700,38150,39250,25064
2024-08-22,39100,39550,37250,37550,50228
2024-08-23,37600,38800,36200,37150,46496
2024-08-26,37650,37750,34600,35500,88081
2024-08-27,35850,36150,34650,35700,50350
2024-08-28,35150,35700,34300,34500,45843
2024-08-29,33700,34750,32600,32800,36956
2024-08-30,32700,33700,32550,33550,19311
2024-09-02,33900,33900,31900,32750,22891
2024-09-03,32650,33850,32150,33400,22710
2024-09-04,32200,32650,31350,31400,29212
2024-09-05,31400,31950,30150,30650,24347
2024-09-06,30150,31350,29500,30850,25839
2024-09-09,30000,33000,30000,32150,27435
2024-09-10,33100,33600,31600,31600,32123
2024-09-11,32800,32800,31150,31600,15465
2024-09-12,31800,32950,31800,32600,8922
2024-09-13,32650,33000,31750,32500,17160
2024-09-19,33000,33000,31900,32550,18047
2024-09-20,32550,33350,32550,33350,13572
2024-09-23,33800,35300,33450,33750,31860
2024-09-24,33850,34300,33250,34000,8639
2024-09-25,34000,34400,31500,33400,22396
2024-09-26,33700,33850,33050,33850,23685
2024-09-27,33950,33950,32750,32800,16210
2024-09-30,32500,33000,31900,32700,16632
2024-10-02,31650,32600,31650,31800,12957
2024-10-04,30900,32450,30900,31650,21241
2024-10-07,31650,32600,31300,32350,16696
2024-10-08,31900,32500,31450,31600,13425
2024-10-10,32050,36000,31500,33050,94929
2024-10-11,33350,36000,32800,33150,58465
2024-10-14,33100,35500,32700,35500,42892
2024-10-15,35500,36500,34700,34850,45958
2024-10-16,34850,36100,34300,35100,25580
2024-10-17,35100,35500,34300,34500,11007
2024-10-18,34450,35650,34050,34500,14444
2024-10-21,35200,36850,34400,35700,59300
2024-10-22,36200,38050,34200,36950,81712
2024-10-23,37000,37400,34600,34800,44849
2024-10-24,35750,35750,34150,35400,19107
2024-10-25,35550,36450,34450,34500,31717
2024-10-28,34500,34700,33300,33700,16859
2024-10-29,34800,34800,32250,33600,38192
2024-10-30,33300,33300,32150,32400,36904
2024-10-31,32200,33000,31850,32400,13162
2024-11-01,32400,32900,32100,32350,13997
2024-11-04,32500,35200,32450,35200,39304
2024-11-05,35000,35200,34000,34300,17226
2024-11-06,34600,34800,33700,33800,18345
2024-11-07,33850,35700,33050,33850,19205
2024-11-08,33550,34500,33250,33550,12072
2024-11-11,33250,33350,31200,31500,29681
2024-11-12,31450,31950,29950,30900,22681
2024-11-13,30050,32550,29900,30550,22142
2024-11-14,31400,31400,29100,29550,24184
2024-11-15,29600,30900,28650,30900,22468
2024-11-18,30500,31750,29900,30750,20088
2024-11-19,31600,31600,30100,30600,25682
