Date,Open,High,Low,Close,Volume
2024-06-10,7840,7840,7650,7800,101495
2024-06-11,7800,7830,7700,7740,121791
2024-06-12,7760,7870,7610,7680,128940
2024-06-13,7760,7940,7720,7800,138944
2024-06-14,7800,7830,7660,7660,84865
2024-06-17,7660,7750,7560,7620,52754
2024-06-18,7580,7700,7500,7500,77500
2024-06-19,7580,7710,7510,7570,59613
2024-06-20,7600,7620,7420,7470,50659
2024-06-21,7450,7460,7200,7250,83488
2024-06-24,7110,7400,7110,7130,52071
2024-06-25,7130,7280,7040,7180,63177
2024-06-26,7350,7350,7170,7300,40015
2024-06-27,7300,7350,7120,7250,39921
2024-06-28,7260,7390,7230,7340,54294
2024-07-01,7420,7680,7240,7550,103101
2024-07-02,7550,7550,7190,7250,74419
2024-07-03,7280,7400,7140,7270,38685
2024-07-04,7200,8340,7200,7230,2885749
2024-07-05,7230,7410,7120,7190,191356
2024-07-08,7270,7390,7190,7340,121960
2024-07-09,7410,7810,7370,7680,331107
2024-07-10,7660,7660,7450,7600,117341
2024-07-11,7790,7790,7550,7610,83810
2024-07-12,7540,7610,7420,7520,61861
2024-07-15,7520,7580,7480,7580,37005
2024-07-16,7510,7580,7300,7480,72523
2024-07-17,7540,7540,7100,7120,91372
2024-07-18,7000,7100,6810,7030,73017
2024-07-19,7100,7170,6900,7040,35514
2024-07-22,6970,7130,6810,6810,51152
2024-07-23,6930,6990,6700,6750,33858
2024-07-24,6690,6870,6690,6770,27444
2024-07-25,6660,6900,6560,6600,47240
2024-07-26,6530,6690,6490,6530,30407
2024-07-29,6650,6690,6500,6690,12204
2024-07-30,6630,6700,6540,6680,27384
2024-07-31,6600,6810,6520,6810,33583
2024-08-01,6900,7040,6800,6970,69172
2024-08-02,6750,6800,6410,6570,90329
2024-08-05,6300,6470,5240,5600,123963
2024-08-06,5310,5910,5300,5600,284745
2024-08-07,5530,5790,5530,5730,80387
2024-08-08,5600,5820,5500,5740,40352
2024-08-09,5820,6060,5780,5900,59534
2024-08-12,5940,6050,5890,5940,28451
2024-08-13,5890,5940,5750,5850,22069
2024-08-14,5980,6350,5980,6150,112688
2024-08-16,6190,6390,6160,6230,73933
2024-08-19,6230,6230,6010,6010,23884
2024-08-20,6020,6290,6020,6280,28742
2024-08-21,6260,6300,6130,6190,10199
2024-08-22,6190,6230,5960,6110,19018
2024-08-23,5960,6110,5960,6000,14787
